ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_r petroR90_r
1237654879665586206 220.143998757395 3.47045935676998 0.026856 0.9119262 153.9918 18.98808 17.08606 16.25623 15.86013 15.5625 18.95749 17.04281 16.21586 15.81627 15.50779 0.1392229 0.1084815 0.07504702 0.05576798 0.04148113 2.550874 2.560229 2.450844 2.43935 2.419759 1.137513 2.803123
1237654654172922173 121.382663109942 39.5462839142 0.03995695 0.2337765 67.09944 18.0194 16.40817 15.67261 15.31716 15.03939 18.30559 16.4843 15.72971 15.29263 14.96151 0.2006403 0.1563376 0.1081536 0.08036972 0.0597803 68.30217 20.05528 20.07277 19.1999 15.56747 8.460989 22.60266
1237654652561654010 121.386543064309 37.4669514986256 0.0326396 0.3917257 24.85568 19.70332 18.23934 17.65724 17.32943 17.05461 19.82947 18.31242 17.73363 17.40494 17.16408 0.2124986 0.1655774 0.1145457 0.08511974 0.06331345 5.315148 5.4832 5.2195 5.304034 5.850111 2.350495 6.313806
1237654652561653886 121.386509544296 37.5501921196532 0.03373857 0.9888358 74.84096 19.11193 17.28788 16.54053 16.19598 15.9781 18.94245 17.20638 16.4691 16.11584 15.86366 0.2135909 0.1664286 0.1151345 0.08555727 0.0636389 2.955785 3.788309 3.954692 3.596625 3.427463 1.688067 5.28955
1237654605861552214 157.700630924147 4.72730206149091 0.03907358 0.09982066 175.1771 18.73938 17.53165 17.34477 17.17209 17.82715 18.6939 17.57828 17.32557 17.12713 17.15364 0.1644814 0.1281628 0.08866243 0.06588569 0.04900685 9.167328 11.92338 10.96678 11.23511 7.665116 4.584198 11.43546
1237654398616076434 168.534418370046 63.3596636824404 0.03409964 0 54.54109 17.63783 16.50586 15.95784 15.65967 15.37957 17.5172 16.45663 15.93389 15.63382 15.40861 0.05175428 0.04032659 0.02789775 0.02073102 0.01542007 7.124661 7.358768 7.820856 7.814299 8.353669 3.800364 8.253073
1237654381441450161 139.758560157992 52.4781115430665 0.03256988 0.6447648 50.26788 18.23084 17.48197 17.41255 17.4459 17.32018 17.9685 17.30523 17.2525 17.18894 17.12227 0.04632248 0.03609416 0.02496977 0.01855522 0.01380167 3.061418 3.570535 3.789684 3.573657 3.866132 1.722111 4.413617
1237654030864744571 169.908906748294 3.13213396626028 0.04760232 0.4028107 82.50952 19.32043 18.07533 17.80826 17.58608 18.98484 19.30593 18.17531 17.81428 17.62211 17.61098 0.214046 0.1667832 0.1153798 0.08573959 0.0637745 10.71718 12.40873 9.913805 8.406751 5.013563 4.085117 11.80467
1237652944785244424 358.379619286287 16.1057865999046 0.04853255 1 111.1384 18.27583 16.39957 15.5941 15.21723 14.91798 18.1881 16.35767 15.54008 15.17732 14.87126 0.1630328 0.127034 0.08788155 0.06530541 0.04857523 5.402036 5.00899 5.074411 5.053142 5.327154 2.158232 7.331549
1237651821637468512 220.159381889043 3.35643713842897 0.02391783 0.2661026 0 19.665 18.19864 17.46216 17.10073 16.86174 19.98387 18.35713 17.5858 17.24249 16.97753 0.1417813 0.110475 0.07642611 0.05679279 0.0422434 5.985867 6.99315 5.802796 6.478404 5.037159 2.7731 7.935766
1237651821637468192 220.163444524152 3.38065974278332 0.03014406 0.4703164 23.26161 19.69589 17.98549 17.15236 16.78021 16.606 19.43126 17.69299 16.9018 16.5342 16.28621 0.1440992 0.1122811 0.07767556 0.05772127 0.04293402 5.550684 5.232603 5.446575 5.52282 4.821334 2.461967 6.583765
1237651736314773622 227.862881543585 1.76874972057505 0.03870596 0.8774138 112.3853 19.55172 17.64378 16.79373 16.39306 16.12558 19.43032 17.55595 16.69744 16.29759 15.98832 0.2114268 0.1647423 0.113968 0.08469041 0.06299411 2.521429 2.66824 2.754585 2.603101 2.396097 1.212561 3.142386
1237651538179850262 209.706631201987 64.9261340208991 0.03160969 1 184.7783 18.11324 16.02254 15.19415 14.78144 14.49301 17.97261 16.02075 15.18956 14.78697 14.46801 0.06171823 0.04809043 0.03326873 0.02472224 0.0183888 5.237977 6.721762 6.645237 6.854889 6.301078 2.279869 7.240664
1237651252024377566 134.749882490526 54.955675390913 0.04628504 0.5337009 0 20.42451 18.39422 17.64217 17.2785 17.01245 19.75982 18.16168 17.40689 17.04386 16.78042 0.06370527 0.04963872 0.03433983 0.02551818 0.01898084 3.319609 3.737422 3.659552 3.647239 3.627535 1.649453 3.8361
1237650762386899031 171.607806388495 -1.87800032587008 0.03950142 0.2236087 94.74184 18.02456 15.76102 15.13172 14.75947 14.57731 17.73018 15.9204 15.20981 14.82481 14.53012 0.165854 0.1292323 0.08940234 0.06643552 0.04941582 11.94671 14.49996 13.77626 13.56774 12.64877 6.141058 14.12137
1237651822173618261 218.491913108791 3.79732594755818 0.02996207 0.4893658 74.9168 19.31015 22.45225 16.72204 16.12638 16.0619 19.42402 22.37682 16.82364 16.35143 16.07001 0.1590361 0.1239198 0.08572716 0.06370447 0.04738442 4.601686 0.2109789 5.326347 5.724181 4.945708 2.346418 6.039917
1237660024524308646 47.0010830591125 -1.05974850998194 0.02828021 0.8618038 24.24773 19.2577 18.12854 17.5583 17.26804 17.01109 19.15311 17.97318 17.43692 17.15656 16.93606 0.2643663 0.2059924 0.1425046 0.1058962 0.07876732 3.163079 2.550193 2.564262 2.664789 3.180813 1.180565 3.35286
1237657190907052199 4.22883152304405 -0.0882212892462072 0.03288747 0 66.91376 16.62791 15.37379 14.72398 14.37455 14.11466 16.84627 15.44348 14.74899 14.38228 14.08059 0.1039416 0.08099055 0.05602889 0.04163547 0.03096914 17.10197 16.24246 16.09859 16.16332 16.07408 8.393523 15.62747
1237657070091632919 41.7026891555824 -0.551594396294243 0.04202488 1 106.249 19.97842 18.25236 17.44233 17.06434 16.80188 19.96581 18.17128 17.34087 16.95671 16.63859 0.1590846 0.1239577 0.08575334 0.06372392 0.04739889 7.96882 2.432054 2.341931 2.297462 2.265256 1.080213 3.153173
1237657070091632916 41.701337337043 -0.618799214773518 0.04458321 0.6541226 73.78358 19.76606 18.42467 17.5552 17.11761 17.01178 19.7603 18.09554 17.26846 16.88143 16.65924 0.1709794 0.133226 0.09216513 0.06848858 0.05094292 27.92256 5.180777 5.268777 5.612586 5.350915 2.336764 6.321597
1237657070091632909 41.6990804747453 -0.498962541174277 0.04258797 0.1073906 0 19.64359 18.18235 17.41256 16.99576 16.80318 19.66003 18.18013 17.39935 17.00551 16.71177 0.1481506 0.115438 0.07985944 0.05934412 0.04414112 5.366016 6.040547 5.951263 6.188056 5.882687 2.817671 6.229807
1237655472357703723 247.882078841025 39.8976477190423 0.02964566 0.7516314 176.4692 16.8444 15.0862 14.29201 13.89434 13.62077 16.78079 14.95874 14.17098 13.76135 13.44304 0.05859764 0.04565888 0.0315866 0.02347223 0.01745903 11.28654 9.696373 9.643603 9.8182 9.421783 4.330274 12.03293
1237655472357703695 247.869045182013 39.9427899777394 0.03102024 0.3434931 36.84675 18.71439 17.31616 16.4912 16.33007 16.03393 19.00764 17.34165 16.58521 16.29177 15.95685 0.0630158 0.04910148 0.03396818 0.025242 0.01877541 27.91327 9.927292 10.74632 8.25554 9.593503 4.648781 11.54924
1237655472357638435 247.879335854831 39.9917970565168 0.02847864 0.7912877 100.8449 18.00341 16.30096 15.52281 15.14499 14.861 17.93335 16.13057 15.35821 14.9776 14.67191 0.0685491 0.05341299 0.03695086 0.02745845 0.02042404 5.853079 5.85751 5.922591 5.856997 5.670889 2.664412 7.761066
1237655371433377919 173.91230738607 63.2439347837614 0.04795895 0.3858378 120.4893 18.24077 16.40349 15.61473 15.1619 14.89941 18.20618 16.48671 15.63451 15.20468 14.88897 0.08483127 0.06609995 0.04572764 0.03398054 0.02527528 8.095011 9.309392 8.828801 9.076665 8.558209 3.866486 9.926386
1237655370901487796 199.064302883946 62.5481192336538 0.04102176 0 57.76271 18.25535 17.01039 16.53844 16.26758 16.14998 18.17918 16.95447 16.46184 16.18639 16.04089 0.07955635 0.06198977 0.04288424 0.03186759 0.02370363 8.403049 8.646198 8.648384 8.90178 8.814704 4.400234 8.450889
1237655370364682426 199.061364845389 62.0688873548978 0.04557328 0.8260678 107.5276 18.97539 17.09753 16.2393 15.83748 15.57932 18.76606 16.91407 16.06684 15.66867 15.39975 0.1012896 0.0789242 0.0545994 0.04057321 0.03017901 6.155498 6.061791 6.222571 6.077325 5.947148 2.561986 6.725954
1237655370364682419 199.053277939553 62.0497178645132 0.03681359 0.001030839 64.26586 17.56453 16.43382 16.03267 15.85309 15.89063 17.64978 16.43538 15.98658 15.71171 15.57117 0.1010522 0.07873917 0.05447139 0.04047808 0.03010826 12.84831 12.05474 11.64571 10.61024 9.901698 5.009945 10.84747
1237655368760361069 223.612174325736 55.2276673353 0.04045626 0 108.0541 17.22766 15.88243 15.19071 14.82169 14.54805 17.38271 15.93394 15.20264 14.81035 14.49951 0.0602203 0.04692325 0.03246129 0.02412222 0.0179425 10.80329 10.83864 10.57108 10.68683 10.0921 5.220289 10.68581
1237655125550694516 194.95209326904 4.99951027112251 0.0242766 0.4806875 73.42453 19.16244 17.82952 17.18449 16.80877 16.52944 19.18697 17.87969 17.21782 16.86545 16.56447 0.1662146 0.1295133 0.0895967 0.06657995 0.04952326 2.645812 2.801032 2.903976 2.941066 2.739706 1.353752 3.347617
1237655109446205556 160.228298122551 58.6278453414478 0.03059537 0 15.40126 19.29833 17.62138 16.99101 16.63982 16.45465 18.99189 17.57323 16.94104 16.59861 16.35921 0.02559465 0.01994318 0.0137966 0.01025235 0.007625864 6.131102 7.287847 7.042029 7.01573 7.50399 3.328508 7.251869
1237655109442470027 146.388878594031 54.7204606022658 0.04644813 0.4278492 54.36262 19.81353 18.07955 17.312 16.93543 16.70742 19.95057 18.17474 17.37606 17.00311 16.7099 0.05320465 0.0414567 0.02867956 0.02131198 0.0158522 4.854833 4.613857 4.322473 4.234411 4.145009 1.985234 4.911076
1237655109442469998 146.380615508937 54.6500844984324 0.04711514 0.8405795 106.1996 19.846 18.25468 17.45054 17.0892 16.7879 19.93126 18.1909 17.39107 17.01141 16.72424 0.05945372 0.04632594 0.03204807 0.02381515 0.0177141 4.514306 2.63821 2.543247 2.46643 2.716597 1.226087 2.959753
1237655108905664666 147.135741123016 54.3491357887326 0.0470873 1 74.12203 19.67183 18.23857 17.44956 17.08768 16.7939 19.83582 18.16804 17.37697 17.01348 16.73273 0.03511004 0.02735751 0.0189258 0.0140639 0.01046095 6.354979 3.428891 3.160823 3.046602 3.369126 1.472604 4.210458
1237655108904747156 144.038398246518 53.2325040782954 0.04592613 0.6917471 57.34603 19.86667 18.10903 17.38921 17.02587 16.76754 19.66268 17.93681 17.18412 16.8203 16.5324 0.06149086 0.04791326 0.03314617 0.02463116 0.01832106 4.503895 4.793924 4.573635 4.743314 4.282398 2.104953 5.585858
1237655108895637531 121.910030635792 38.9404328535143 0.03894076 0.6340209 91.21384 18.03064 16.45833 15.86174 15.57553 15.31328 18.08766 16.47939 15.89512 15.59429 15.36005 0.2080745 0.1621302 0.1121609 0.08334758 0.06199529 3.549417 3.487234 3.551216 3.506261 3.674617 1.645251 4.002689
1237655108368662764 147.140412482788 53.9216537900944 0.04756821 0.199971 56.00063 18.2347 16.98959 16.28835 15.96115 15.83639 18.32004 17.03523 16.37678 16.0372 15.8032 0.04455598 0.03471772 0.02401756 0.01784762 0.01327535 9.241668 9.60852 10.55779 9.855748 8.69734 4.175338 10.57531
