objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237648722827739232,148.944848880452,1.12562806810944,0.04636251,19.19126,17.67455,17.19507,16.88797,16.91576,19.07678,17.66514,17.14488,16.8497,16.7324
1237648722830884909,156.149004018846,1.10981401581018,0.02170384,16.8673,15.13997,14.31408,13.91376,13.62807,16.84189,15.02242,14.17648,13.7782,13.46235
1237648722836979833,170.082819263159,1.1036404982476,0.04020718,19.4723,17.97177,17.68825,17.55207,17.90669,19.12088,17.98997,17.65933,17.4601,17.41951
1237648722842157205,181.877238305464,1.14727765988287,0.04912516,18.68174,17.50175,16.99402,16.69495,16.46438,18.90414,17.60499,17.04123,16.72008,16.45728
1237649918430740598,19.383174472802,13.3585840848957,0.04867011,20.24507,17.83919,17.29699,16.90151,16.7284,19.87004,17.86455,17.2478,16.84468,16.58674
1237649918434148467,27.3381451314495,12.7150558076951,0.03350778,16.6849,15.45623,14.80401,14.44399,14.31072,16.91111,15.47744,14.77523,14.39132,14.14142
1237649918968922272,22.5023816365412,13.6796119487171,0.04393206,17.57001,16.33491,15.74188,15.39911,15.271,17.82847,16.40379,15.72841,15.32938,15.06795
1237649918973182091,32.4584076408391,12.6830280623278,0.0411674,18.89234,17.32714,16.52033,16.09129,15.86397,18.80562,17.14987,16.34809,15.9096,15.61003
1237649918973182101,32.4790171368775,12.7278692762495,0.03506736,18.81623,17.53322,16.81241,16.4249,16.27802,19.01087,17.49261,16.79461,16.39318,16.08998
1237649920041353370,19.4807938735552,14.6288905889525,0.03655308,19.8665,18.15428,17.43106,17.3161,17.07992,19.53198,17.98209,17.34943,17.12399,16.87711
1237649920574357719,10.2848208702696,15.3856163297049,0.04043454,19.35103,18.27934,17.76003,17.39962,17.50048,19.50229,18.25692,17.71734,17.39051,17.30551
1237649921112801438,14.1230122458778,15.6725615680086,0.04109607,18.60885,16.58062,16.12147,15.77759,15.57219,18.39804,16.58342,16.0644,15.73568,15.48744
1237649921115095238,19.4995776515229,15.5300291228005,0.03822815,19.0595,18.10146,17.71056,17.4558,17.26052,19.08181,18.12306,17.74626,17.45584,17.24491
1237649954404827341,22.7008347183231,14.7305142178891,0.02316882,18.96519,17.94371,17.54594,17.53132,17.47058,17.90805,17.09836,16.85879,16.78375,16.73519
1237649954406334587,26.307637739161,14.4263230727312,0.04298153,19.18689,17.29665,16.56359,16.17555,16.10482,18.80515,17.21303,16.49573,16.14153,15.88554
1237649961381265680,49.8546421038502,-7.99746608531103,0.03489767,18.14812,17.25962,16.79211,16.6575,16.59917,18.25847,17.17574,16.72947,16.4961,16.29404
