ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
248.427338,40.1530991,2.91412808E-02,3.31308699,1.00000000,120.217003,-18.0819855,-19.7923641,-20.5662365,-20.9116879,-21.1883354,-18.1144180,-19.7516537,-20.5152569,-20.8594971,-21.0992546,2.48425102,0.773872375,19.5433521,1.81603372,6.01667786
246.718796,40.9703140,2.91756094E-02,2.38607955,0.430331886,23.5629902,-17.1934319,-18.2723312,-18.6077747,-18.7987556,-18.8973255,-16.6027908,-17.7235317,-17.9890461,-17.9406471,-18.1807556,1.41434288,0.335443497,22.8870163,2.65438676,6.33357811
179.244446,61.4563789,4.24445495E-02,2.55628085,0.00000000,42.2455406,-18.1782932,-19.5843296,-20.2466068,-20.5878963,-20.8725128,-18.2994137,-19.6335087,-20.2285080,-20.4692554,-20.7207222,2.06831360,0.662277222,21.6830235,4.06856823,10.4004030
246.704376,42.6789246,3.04490700E-02,2.39269328,0.385215104,74.1922607,-17.3136292,-18.8925095,-19.6686687,-20.0214748,-20.3555374,-17.1161098,-18.9300098,-19.7409992,-20.0291653,-20.3270760,2.35503960,0.776159286,21.1681366,2.67517328,6.40086889
239.459000,48.6096458,2.06956007E-02,1.80253732,0.00000000,0.00000000,-16.6467361,-17.9628258,-18.5739670,-18.8229370,-19.0693665,-16.5731869,-17.8298359,-18.4757175,-18.6791573,-18.8866272,1.92723083,0.611141205,22.2585506,2.48935914,4.48716259
250.878281,40.5476608,3.19464207E-02,2.31150103,4.80404198E-02,58.3559685,-16.1545067,-17.8613091,-18.6627464,-19.0699043,-19.4316616,-16.3603878,-17.9222488,-18.6891575,-19.0711937,-19.4483604,2.50823975,0.801437378,21.0230465,1.53589988,3.55023408
194.908508,4.97568703,2.40420196E-02,2.98356080,0.837724388,98.2013168,-17.0734024,-18.6944714,-19.4367504,-19.7818527,-20.0359383,-17.0548630,-18.5527630,-19.2871990,-19.6208916,-19.8377800,2.36334801,0.742279053,19.7423897,1.10530460,3.29774308
249.193466,47.5454674,2.37945896E-02,2.74075580,0.924000323,0.00000000,-16.1155357,-17.2096729,-17.6139507,-17.8144531,-17.9739761,-15.9159260,-17.0593929,-17.5047512,-17.7160416,-17.9340591,1.49841499,0.404277802,20.3348656,0.650676966,1.78334677
246.723816,49.6205750,3.01250704E-02,2.44688654,0.110328801,62.5745888,-17.7300701,-19.0545979,-19.5815983,-19.8334923,-20.0130348,-17.7708797,-19.0708389,-19.5323391,-19.7590828,-19.6909828,1.85152817,0.527000427,21.9426250,3.43441725,8.40363026
229.811066,3.90428448,3.57130095E-02,2.35994148,0.124817498,99.1872635,-18.0987263,-19.4430447,-20.0926685,-20.4287281,-20.7188778,-18.0840359,-19.4735355,-20.0862560,-20.3817787,-20.6314468,1.99394226,0.649623871,21.3656998,3.27731991,7.73428345
220.159119,3.93804622,2.83404402E-02,2.53011680,0.00000000,0.00000000,-11.1865129,-17.4640675,-17.7658024,-17.9320183,-18.0691719,-7.70910311,-17.4703674,-17.7710323,-17.9140778,-18.0323811,6.57928944,0.301734924,21.9631348,1.52579284,3.86043429
227.512924,3.21520901,4.28723618E-02,2.63725495,0.904638410,144.197998,-17.2536163,-19.0752125,-19.9052677,-20.2907906,-20.6029625,-17.2349052,-18.9863338,-19.8015270,-20.1719704,-20.4839630,2.65165138,0.830055237,19.7158184,1.32486999,3.49402022
227.521362,3.15338492,4.27098684E-02,3.35958123,1.00000000,168.244995,-18.6001396,-20.4480133,-21.2631226,-21.6246052,-21.9045639,-18.6255283,-20.3665924,-21.1882629,-21.5478859,-21.8107243,2.66298294,0.815109253,18.9357891,1.75607073,5.89966249
220.151138,3.53870296,2.75463108E-02,1.98981810,4.51015197E-02,13.0346804,-16.1521111,-17.7680511,-18.4594193,-18.7786827,-19.0772152,-16.4593105,-17.7029610,-18.3959198,-18.6774120,-18.9472256,2.30730820,0.691368103,22.1959038,2.27054834,4.51797819
220.169586,3.51167488,2.78116409E-02,2.74921584,0.894355714,61.4569893,-15.7866020,-17.2721844,-17.9938107,-18.3271980,-18.5686531,-15.8714218,-17.1102543,-17.8380299,-18.1947975,-18.2517853,2.20720863,0.721626282,21.2212582,1.12023354,3.07976365
220.154037,3.46470070,2.29546409E-02,2.82912326,0.809395373,119.990402,-16.2789268,-18.3346329,-19.1500244,-19.5411816,-19.8182831,-15.7003584,-18.1730633,-19.0045033,-19.3928413,-19.6464329,2.87109756,0.815391541,19.3466797,0.816358030,2.30957723
220.143997,3.47045946,2.68559996E-02,2.46425581,0.911926210,153.991806,-16.5658588,-18.4018002,-19.1973133,-19.5596256,-19.8418179,-16.5352707,-18.3585510,-19.1569443,-19.5157661,-19.7871075,2.63145447,0.795513153,18.4913902,0.586285114,1.44475651
121.382660,39.5462837,3.99569497E-02,2.67139673,0.233776495,67.0994415,-18.1629238,-19.8919125,-20.6003170,-20.9916153,-21.2901440,-18.4491138,-19.9680424,-20.6574173,-20.9670849,-21.2122650,2.43739319,0.708404541,22.2650948,6.38721657,17.0627899
121.386543,37.4669533,3.26396003E-02,2.68616009,0.391725689,24.8556805,-16.1999855,-17.6221180,-18.1518764,-18.4331398,-18.6401901,-16.3261375,-17.6951962,-18.2282658,-18.5086479,-18.7496605,1.95189095,0.529758453,21.4684143,1.46217680,3.92764115
121.386513,37.5501938,3.37385684E-02,3.13349533,0.988835812,74.8409576,-17.1617699,-18.8026791,-19.4906635,-19.7963486,-20.0146084,-16.9922905,-18.7211819,-19.4192371,-19.7162094,-19.9001694,2.32889366,0.687984467,19.6328564,1.08402801,3.39679670
157.700638,4.72730207,3.90735790E-02,2.49453878,9.98206586E-02,175.177094,-17.6885071,-18.7198086,-18.9350185,-19.0926819,-19.0372925,-17.6430283,-18.7664394,-18.9158192,-19.0477219,-18.3637810,1.24651146,0.215209961,22.6064663,3.38767838,8.45069504
168.534424,63.3596649,3.40996385E-02,2.17165327,0.00000000,54.5410881,-18.4488792,-19.4500217,-19.9623318,-20.2372360,-20.4451332,-18.3282471,-19.4007931,-19.9383831,-20.2113876,-20.4741745,1.51345253,0.512310028,20.8123436,2.46553898,5.35429573
139.758560,52.4781113,3.25698815E-02,2.56291103,0.644764781,50.2678795,-17.8900261,-18.4950695,-18.5386715,-18.5778198,-18.6277351,-17.6276855,-18.3183308,-18.3786221,-18.3208580,-18.4298248,0.648645401,4.36019897E-02,20.5482349,1.06907761,2.73995090
169.908905,3.13213396,4.76023182E-02,2.88967752,0.402810693,82.5095215,-17.5682335,-18.6035900,-18.9152164,-19.0597458,-19.0369110,-17.5537338,-18.7035694,-18.9212360,-19.0957756,-17.6630516,1.34698296,0.311626434,22.8196621,3.64067221,10.5203686
358.379608,16.1057873,4.85325493E-02,3.39701629,1.00000000,111.138397,-18.6785336,-20.4249668,-21.2054043,-21.5275879,-21.8049164,-18.5908051,-20.3830662,-21.1513844,-21.4876785,-21.7581978,2.52687073,0.780437469,19.2199688,1.95884919,6.65424299
220.159378,3.35643721,2.39178296E-02,2.86169505,0.266102612,0.00000000,-15.2856779,-16.8331127,-17.5723915,-17.8780689,-18.1164799,-15.6045465,-16.9916019,-17.6960316,-18.0198288,-18.2322693,2.28671360,0.739278793,21.6323662,1.27742338,3.65559602
220.163452,3.38065982,3.01440600E-02,2.67418909,0.470316410,23.2616100,-16.3530731,-18.0115280,-18.7701092,-19.0997562,-19.3209591,-16.0884418,-17.7190266,-18.5195484,-18.8537464,-19.0011673,2.41703606,0.758581161,21.0641499,1.41866410,3.79377604
227.862885,1.76874971,3.87059599E-02,2.59152818,0.877413809,112.385300,-16.9779186,-18.7576046,-19.5673409,-19.9199123,-20.1954842,-16.8565197,-18.6697750,-19.4710503,-19.8244419,-20.0582256,2.58942223,0.809736252,19.1676254,0.888029158,2.30135250
209.706635,64.9261322,3.16096917E-02,3.17591214,1.00000000,184.778305,-17.8347893,-19.7250233,-20.5433903,-20.9194336,-21.2200603,-17.6941605,-19.7232342,-20.5388012,-20.9249649,-21.1950607,2.70860100,0.818367004,18.9390774,1.37518752,4.36747503
134.749878,54.9556770,4.62850407E-02,2.32568002,0.533700883,0.00000000,-16.9009972,-18.4370708,-19.1785603,-19.5147705,-19.7596703,-16.2363091,-18.2045307,-18.9432812,-19.2801323,-19.5276413,2.27756310,0.741489410,20.6842480,1.43155694,3.32934332
171.607803,-1.87800038,3.95014212E-02,2.29950118,0.223608702,94.7418365,-18.6779213,-20.4030838,-21.0758419,-21.4198761,-21.6855450,-18.3835411,-20.5624638,-21.1539326,-21.4852161,-21.6383553,2.39792061,0.672758102,21.0283146,4.58552885,10.5444298
218.491913,3.79732585,2.99620703E-02,2.57410121,0.489365786,74.9168015,-16.3618088,-13.3258944,-18.8428802,-19.2750664,-19.5281677,-16.4756794,-13.2504644,-18.9444809,-19.5001163,-19.5362778,2.48107147,5.51698589,20.5294456,1.34421265,3.46013927
47.0010834,-1.05974853,2.82802097E-02,2.84004688,0.861803830,24.2477303,-16.6098881,-17.6834450,-18.1582165,-18.3839684,-18.5653400,-16.5052986,-17.5280857,-18.0368366,-18.2724895,-18.4903107,1.54832840,0.474771500,19.8741283,0.639646292,1.81662536
4.22883129,-8.82212892E-02,3.28874700E-02,1.86184871,0.00000000,66.9137573,-19.0914574,-20.4232998,-21.0948257,-21.4291420,-21.7081642,-19.3098164,-20.4929886,-21.1198368,-21.4368725,-21.6740952,2.00336838,0.671525955,21.2990799,5.25946903,9.79233551
41.7026901,-0.551594377,4.20248806E-02,2.91902900,1.00000000,106.249001,-16.5739956,-18.2854023,-19.0796051,-19.4237366,-19.7135315,-16.5613861,-18.2043228,-18.9781456,-19.3161068,-19.5502415,2.50560951,0.794202805,19.5652542,0.855547369,2.49736762
41.7013359,-0.618799210,4.45832089E-02,2.70527816,0.654122591,73.7835770,-16.9237633,-18.5027733,-19.2907906,-19.6361446,-19.8287868,-16.9180031,-18.1736431,-19.0040493,-19.3999634,-19.4762478,2.36702728,0.788017273,21.3536530,1.95745635,5.29546404
41.6990814,-0.498962551,4.25879695E-02,2.21097732,0.107390597,0.00000000,-16.8986320,-18.2978230,-19.0450230,-19.4003448,-19.6668854,-16.9150734,-18.2956028,-19.0318127,-19.4100952,-19.5754738,2.14639091,0.747200012,21.6173897,2.26002789,4.99687052
247.869049,39.9427910,3.10202409E-02,2.48435903,0.343493104,36.8467484,-16.7592373,-18.3633156,-19.1066208,-19.3733349,-19.6897888,-17.0524883,-18.3888054,-19.2006321,-19.3350353,-19.6127090,2.34738350,0.743305206,21.7832737,2.75374460,6.84129047
247.879333,39.9917984,2.84786392E-02,2.91286254,0.791287720,100.844902,-17.6493340,-19.3889790,-20.1468754,-20.4999924,-20.7866478,-17.5792732,-19.2185879,-19.9822750,-20.3326035,-20.5975571,2.49754143,0.757896423,19.6061954,1.45339715,4.23354626
173.912308,63.2439346,4.79589514E-02,2.56728864,0.385837793,120.489304,-18.5555382,-20.2082787,-21.0421047,-21.4421883,-21.7371922,-18.5209484,-20.2914982,-21.0618858,-21.4849701,-21.7267532,2.48656654,0.833826065,20.5066910,3.47017813,8.90894890
199.064301,62.5481186,4.10217606E-02,1.92055428,0.00000000,57.7627106,-18.2270470,-19.3861942,-19.8617191,-20.1081505,-20.2334862,-18.1508789,-19.3302746,-19.7851162,-20.0269623,-20.1243973,1.63467216,0.475524902,21.7111988,3.40594125,6.54129457
199.061371,62.0688858,4.55732793E-02,2.62528920,0.826067805,107.527603,-17.8975677,-19.6791935,-20.5040989,-20.8702431,-21.1167679,-17.6882381,-19.4957333,-20.3316383,-20.7014313,-20.9371967,2.60653114,0.824905396,20.2375622,2.19120002,5.75253391
199.053284,62.0497169,3.68135907E-02,2.16518760,1.03083905E-03,64.2658615,-18.5362225,-19.6803112,-20.1068439,-20.3497200,-20.4678898,-18.6214733,-19.6818714,-20.0607548,-20.2083397,-20.1484299,1.57062149,0.426532745,21.4872112,3.49758577,7.57292891
223.612167,55.2276688,4.04562615E-02,2.04697657,0.00000000,108.054100,-18.9731407,-20.3606167,-21.0794525,-21.4454041,-21.7380638,-19.1281929,-20.4121265,-21.0913830,-21.4340630,-21.6895218,2.10631180,0.718835831,20.7345600,3.98767233,8.16267204
194.952087,4.99951029,2.42765993E-02,2.47284341,0.480687499,73.4245300,-16.1399193,-17.3624992,-17.9864521,-18.2978058,-18.5697269,-16.1644497,-17.4126701,-18.0197811,-18.3544865,-18.6047573,1.84653282,0.623952866,19.7975636,0.632683098,1.56452644
160.228302,58.6278458,3.05953696E-02,2.17871475,0.00000000,15.4012604,-16.7069340,-18.0719433,-18.6999855,-19.0208721,-19.2456455,-16.4004936,-18.0237942,-18.6500149,-18.9796619,-19.1502037,1.99305153,0.628042221,21.5576382,1.94565272,4.23902225
146.388885,54.7204590,4.64481302E-02,2.47380209,0.427849203,54.3626213,-16.7076416,-18.4237232,-19.2116222,-19.5592079,-19.8349571,-16.8446808,-18.5189114,-19.2756824,-19.6268883,-19.8374367,2.50398064,0.787899017,20.7564373,1.72871637,4.27650261
146.380615,54.6500854,4.71151397E-02,2.41398287,0.840579510,106.199600,-16.7652111,-18.4444427,-19.2319946,-19.5854225,-19.8544903,-16.8504696,-18.3806629,-19.1725235,-19.5076332,-19.7908287,2.46678352,0.787551880,19.8485260,1.08213663,2.61225915
147.135742,54.3491364,4.70873006E-02,2.85919213,1.00000000,74.1220322,-16.8349800,-18.4470081,-19.2316456,-19.5722752,-19.8374195,-16.9989700,-18.3764782,-19.1590557,-19.4980736,-19.7762508,2.39666557,0.784637451,20.2453690,1.29898608,3.71405029
144.038391,53.2325058,4.59261313E-02,2.65367341,0.691747129,57.3460312,-16.9784546,-18.6427479,-19.3826694,-19.7199783,-19.9895668,-16.7744637,-18.4705296,-19.1775799,-19.5144081,-19.7544250,2.40421486,0.739921570,20.9608002,1.81349182,4.81241512
121.910034,38.9404335,3.89407612E-02,2.43287420,0.634020925,91.2138367,-18.3307343,-19.8450642,-20.3813610,-20.6353798,-20.8362656,-18.3877563,-19.8661213,-20.4147415,-20.6541386,-20.8830357,2.05062675,0.536296844,18.8982792,1.21188414,2.94836140
147.140411,53.9216537,4.75682095E-02,2.53280330,0.199971005,56.0006294,-18.3830242,-19.6099968,-20.2597466,-20.5751553,-20.7925835,-18.4683647,-19.6556377,-20.3481770,-20.6512070,-20.7593937,1.87672234,0.649749756,21.3471851,3.71856117,9.41838455
158.194809,56.7911758,4.65493612E-02,2.92892003,0.952616990,196.200806,-17.9687729,-19.8277836,-20.6956787,-21.0883236,-21.4419937,-18.0077248,-19.7315845,-20.5761204,-20.9634037,-21.2843037,2.72690582,0.867895126,19.2568874,1.58636642,4.64634037
218.477173,3.71332836,2.81614400E-02,2.75082350,0.522273898,50.3653488,-16.6624241,-18.4084568,-19.1622562,-19.4945564,-19.7256355,-15.8722448,-18.0450668,-18.8201866,-19.1437759,-19.2201443,2.49983215,0.753799438,21.3910503,1.89421308,5.21064568
218.465942,3.68500185,3.29909883E-02,2.34557366,8.88200775E-02,95.4588928,-16.3972397,-17.6339893,-18.1746082,-18.4831276,-18.6311111,-16.1719780,-17.6704311,-18.1486073,-18.5339775,-18.5340309,1.77736855,0.540618896,21.9668560,1.79650497,4.21383524
194.664490,4.39350224,2.38932893E-02,2.44145226,0.206694499,32.3140297,-17.3049660,-18.5894165,-19.0703926,-19.2925529,-19.4696312,-17.3089867,-18.5625572,-19.0800724,-19.3018932,-19.4386215,1.76542664,0.480976105,19.9215317,1.10582137,2.69981003
161.963669,-0.631635308,3.78160812E-02,2.28930879,0.00000000,14.9614296,-17.2018528,-18.6861057,-18.9383678,-19.0988598,-19.1885509,-16.8759422,-18.6101856,-18.9224777,-19.0631199,-19.0953503,1.73651505,0.252262115,21.5435314,2.08447170,4.77199936
146.504120,54.4362793,4.98170406E-02,2.45887113,0.601760328,94.5157776,-18.0550613,-19.7655602,-20.5514221,-20.9193153,-21.1875114,-17.9892921,-19.5346508,-20.3418121,-20.6764450,-20.9405823,2.49636078,0.785861969,20.4157162,2.40312648,5.90897846
140.391357,52.3279457,3.89810503E-02,2.54778814,0.372625709,48.8484116,-17.5860939,-18.7186089,-19.1199436,-19.3431854,-19.5025291,-17.8613834,-18.9546394,-19.2571831,-19.4903355,-19.4337997,1.53384972,0.401334763,21.7604599,2.74892879,7.00368834
141.025742,51.7644081,4.71401289E-02,2.55916739,0.349301994,96.9585571,-17.9098663,-19.4778976,-20.2193604,-20.6018562,-20.9049511,-17.9158669,-19.5113392,-20.2521591,-20.6285057,-20.9556122,2.30949402,0.741462708,20.7321434,2.67763281,6.85251045
122.231987,38.8727875,4.06181514E-02,2.78359461,0.723033190,71.1465378,-17.0139351,-18.6335239,-19.3826790,-19.7126617,-19.9873333,-17.1380844,-18.4464855,-19.1974182,-19.5381012,-19.8776226,2.36874390,0.749155045,20.5691051,1.49050248,4.14895487
122.226776,38.9242668,3.93038988E-02,2.34967661,0.112758502,67.7223129,-16.7273464,-18.2134438,-18.7656822,-19.0104389,-19.2566872,-16.6523876,-18.2841225,-18.8119106,-19.0714397,-19.1531677,2.03833580,0.552238464,21.8775997,2.28478813,5.36851311
165.134140,5.00434542,3.87475193E-02,2.37595963,0.00000000,23.5513992,-17.4751453,-18.6182327,-19.1095371,-19.4030151,-19.6141891,-17.5529938,-18.5832825,-19.1151962,-19.4174366,-19.5550995,1.63439178,0.491304398,21.4015751,2.14739156,5.10211658
140.389893,55.0014267,4.60418984E-02,3.28556180,1.00000000,145.689499,-18.7769127,-20.5624676,-21.3730793,-21.7446041,-22.0421257,-18.6375618,-20.4330292,-21.2394810,-21.6101646,-21.8782768,2.59616661,0.810611725,19.6790276,2.57116938,8.44773579
167.892639,3.18290162,3.05144694E-02,2.01953101,0.00000000,16.4919205,-16.6757164,-18.0079937,-18.6124229,-18.8818645,-19.0647907,-16.7914772,-18.0115929,-18.5706425,-18.8536644,-19.1368408,1.93670654,0.604429245,22.0470390,2.26162219,4.56741619
15.9546566,14.9595137,3.99196818E-02,2.56742644,0.136261299,64.9737701,-17.3582096,-18.4045982,-18.9157047,-19.2663574,-19.5507584,-17.4097309,-18.4433384,-18.9750252,-19.3492470,-19.4110584,1.55749512,0.511106491,22.6228733,3.19351959,8.19912529
140.392685,54.8885612,4.30777706E-02,2.50957298,0.155085102,82.0667267,-16.5906963,-18.8542156,-19.6728897,-20.0651131,-20.3900871,-16.3252850,-18.8931351,-19.6766796,-20.0661526,-20.3160343,3.08219337,0.818674088,21.2271900,2.57123017,6.45269012
39.2990837,-9.11820698,4.24466804E-02,2.44233990,0.227637604,29.8047905,-17.8638687,-18.8280544,-19.1623783,-19.3557243,-19.3137131,-18.0722084,-18.8676243,-19.2149372,-19.4548111,-19.0182724,1.29850960,0.334323883,21.4572315,2.29799056,5.61247444
216.821838,4.80274057,2.79976707E-02,2.32196784,0.00000000,80.3449478,-17.5839272,-20.2138538,-20.8226337,-21.2788734,-20.6343231,-4.71827745,-19.8793850,-20.6836834,-21.0070648,-5.13857365,3.23870659,0.608779907,23.7402935,13.2619228,30.7937603
218.480530,3.83413506,2.91151106E-02,2.90710807,0.887877584,143.729797,-17.9550400,-19.7526722,-20.5682468,-20.9233971,-21.2265930,-17.7837105,-19.5821228,-20.3917446,-20.7692966,-21.0335808,2.61320686,0.815574646,19.9300175,1.99085796,5.78763914
218.467667,3.76110959,2.77026091E-02,2.36761642,0.589177728,38.5117989,-15.5199814,-17.1528835,-17.9350948,-18.2484093,-18.4674377,-15.2157822,-16.9907055,-17.7414150,-18.0596886,-18.1923180,2.41511345,0.782211304,20.6657619,0.826167583,1.95604801
218.481796,3.81173873,2.78988294E-02,2.65238833,0.930559576,125.184898,-16.3310986,-18.1237793,-18.9305820,-19.2767448,-19.5425949,-16.2590599,-18.0649204,-18.8506622,-19.2134247,-19.4683743,2.59948349,0.806802750,19.3246346,0.742424130,1.96919703
218.466858,3.46096444,3.13894004E-02,2.25194335,0.396714211,50.3820496,-16.3113518,-18.0066509,-18.7017765,-19.0253067,-19.2793274,-16.5172729,-18.0191441,-18.7558155,-19.0488281,-19.2294579,2.39042473,0.695125580,21.1932869,1.67288136,3.76723409
166.625473,3.34399366,3.16906795E-02,2.05421782,9.68873128E-02,65.0495529,-16.6277828,-17.9291916,-18.4193935,-18.6017570,-18.7647457,-16.4614830,-17.8671303,-18.3544846,-18.3483772,-18.2669353,1.79161072,0.490201950,22.6906128,2.70231652,5.55114651
171.125137,2.98422217,3.35188806E-02,2.76126051,0.660179675,78.4439011,-20.0764446,-20.8102283,-20.9294338,-21.0481529,-21.0952759,-19.7083244,-20.5379581,-20.7130260,-20.8323536,-20.8546867,0.852989197,0.119205475,20.1958160,2.57476473,7.10959625
154.803635,2.73754716,4.48092707E-02,3.08690619,1.00000000,83.6979828,-16.9843102,-18.6918602,-19.4711590,-19.7955132,-20.0852509,-16.9110203,-18.6124496,-19.4050598,-19.7312336,-19.9750404,2.48684883,0.779298782,19.6955433,1.08826923,3.35938501
166.623337,1.67587078,3.11747007E-02,2.52237821,0.305640489,21.0714302,-17.8782749,-18.6641006,-18.8529816,-18.9994144,-19.1092529,-17.8908958,-18.6818600,-18.9234123,-19.0628548,-19.1057930,0.974706650,0.188880920,20.2009869,1.13571846,2.86471176
216.807404,2.84683967,3.56601588E-02,3.21709156,0.972820103,182.238693,-19.0522366,-20.8217182,-21.6321125,-21.9945812,-22.2652473,-19.0251350,-20.6767292,-21.4600811,-21.8248024,-22.0874481,2.57987595,0.810394287,19.5660572,2.73350954,8.79395103
131.541092,53.8706322,4.59099896E-02,2.41958451,0.334167600,86.9407501,-16.9659348,-18.7491093,-19.6106892,-20.0417366,-20.3194351,-17.4971161,-18.7918797,-19.6361904,-20.0753174,-19.9023857,2.64475441,0.861579895,21.3156261,2.60690045,6.30761528
131.548508,53.8938103,4.71529514E-02,3.04922915,1.00000000,145.220306,-18.1874046,-20.0596809,-20.8762894,-21.3084412,-21.5603638,-18.0202847,-19.9193001,-20.7404194,-21.2290707,-21.4309540,2.68888474,0.816608429,19.4256859,1.81034398,5.52015352
216.799606,64.3919754,3.64753492E-02,3.08026004,0.801569223,65.1795197,-17.5531082,-18.8879452,-19.4510918,-19.7867184,-20.0396042,-17.3419781,-18.6586246,-19.2072906,-19.5294590,-19.7388439,1.89798355,0.563146591,21.1315022,2.00691319,6.18181419
216.798553,64.3037262,4.61997204E-02,1.80396831,3.03479508E-02,0.00000000,-18.1485310,-19.4331398,-19.8317623,-20.0880527,-20.0921307,-18.0918427,-19.3148804,-19.7488823,-19.9513321,-19.7108421,1.68323135,0.398622513,22.9934406,5.97106981,10.7716208
211.446976,65.5245438,3.17806415E-02,2.84335756,1.00000000,63.0489388,-16.5078659,-18.2235909,-18.9455986,-19.2967262,-19.5397530,-16.4280758,-18.1171513,-18.8161488,-19.1439972,-19.3549042,2.43773270,0.722007751,20.5594940,1.31316352,3.73379350
131.734604,54.4698677,3.10612991E-02,2.47014165,0.128304198,41.6513901,-16.3166065,-17.9014854,-18.6531754,-19.0271988,-19.3036156,-16.1743870,-17.8835163,-18.6626644,-19.0933895,-19.3493462,2.33656883,0.751689911,21.6184006,1.96222937,4.84698391
155.642563,64.6105652,2.24044900E-02,2.27823853,0.316154897,15.3271198,-16.5615273,-17.5548725,-17.9164181,-18.1386909,-18.2084923,-16.7668648,-17.7776852,-18.0279675,-18.1566620,-18.0070114,1.35489082,0.361545563,22.1313534,1.92488766,4.38535309
121.913124,47.8005562,3.99276093E-02,2.49743271,5.51863909E-02,73.6350708,-18.0399780,-19.5187683,-20.2328281,-20.6249847,-20.9364243,-18.0448093,-19.5782700,-20.2558270,-20.6134262,-20.8371239,2.19285011,0.714059830,20.9482937,2.90697646,7.25997782
209.684586,65.1519623,3.26481201E-02,2.01146269,0.114535101,47.9355202,-17.1286163,-18.5547829,-19.2436829,-19.5559978,-19.7557430,-17.3395367,-18.5196438,-19.2029324,-19.5358772,-19.6825829,2.11506653,0.688899994,21.5366478,2.44798851,4.92403793
135.413467,55.8049469,4.61806916E-02,1.98778141,7.59224519E-02,47.8666306,-18.2125320,-19.4733238,-19.9525051,-20.2400436,-20.3983097,-18.1376534,-19.4466629,-19.9360142,-20.1676540,-20.3057899,1.73997307,0.479181290,21.3047695,2.99623728,5.95586538
122.229889,45.6875801,4.04116698E-02,2.81192160,0.687080681,44.2553215,-18.6347427,-19.6166382,-19.9851151,-20.1829700,-20.3331146,-18.2751732,-19.3433094,-19.7991142,-19.9979305,-20.1503658,1.35037231,0.368476868,20.3339691,1.77228260,4.98351955
259.473816,57.1267776,2.84978095E-02,2.38312793,0.00000000,0.00000000,-16.6953564,-17.8272972,-18.3383656,-18.6131725,-18.7572956,-16.6232853,-17.8368168,-18.3542957,-18.6012421,-18.8688145,1.64300919,0.511068344,21.8684139,1.91304100,4.55902195
124.060310,45.7765312,4.93467897E-02,2.66381121,0.193612695,31.0039005,-17.4040279,-18.7220478,-19.3196125,-19.6211090,-19.8049335,-17.7720890,-18.8327179,-19.3345127,-19.6031094,-19.6688728,1.91558456,0.597564697,21.5730801,2.45113039,6.52934885
124.068466,45.6045227,4.09156308E-02,1.76926601,3.69329415E-02,50.0477295,-17.5357189,-18.7475662,-19.2142754,-19.4583168,-19.5379372,-17.5715294,-18.7594967,-19.1560936,-19.3311157,-19.3155174,1.67855644,0.466709137,22.5373459,3.58583736,6.34429979
133.150864,54.3266373,4.14852910E-02,3.12476683,1.00000000,98.3755264,-17.0037918,-18.6546764,-19.4081974,-19.7533913,-20.0210114,-17.1455307,-18.6371136,-19.3496304,-19.6990395,-19.8877602,2.40440559,0.753520966,20.2766666,1.43167627,4.47365475
133.148438,52.3664742,4.13579196E-02,2.68478513,1.00000000,123.126198,-19.2445240,-20.7568874,-21.4666576,-21.7720604,-22.0400009,-19.5845451,-20.7703972,-21.3255386,-21.5224609,-21.5818901,2.22213364,0.709770203,20.9406471,4.80871391,12.9103642
24.0806313,14.6568489,3.36789787E-02,3.09533167,0.880580425,121.412697,-18.9474449,-20.1938190,-20.9370632,-21.3307552,-21.6000633,-19.6815033,-20.0694294,-20.7787647,-21.1917763,-21.4735718,1.98961830,0.743244171,19.3344898,1.76516151,5.46376038
246.515091,-0.590088010,4.86427508E-02,2.60067344,0.848418713,107.170502,-17.0382290,-18.8410587,-19.6336575,-19.9768314,-20.0222416,-16.9166794,-18.7302284,-19.5451069,-19.8614120,-19.9969101,2.59542847,0.792598724,20.1351814,1.35480118,3.52339530
250.863602,43.3531647,3.12086195E-02,2.64142275,0.851695418,115.705299,-18.6548615,-20.5132179,-21.3059101,-21.6898575,-21.9105148,-18.3680019,-20.3607979,-21.1546211,-21.5661697,-21.6707039,2.65104866,0.792692184,20.5552845,3.86671782,10.2136374
250.861771,39.5291634,2.08174400E-02,2.11736488,0.00000000,850.000000,-16.1472092,-16.8832951,-17.0815945,-17.2054291,-17.2357903,-16.3120995,-16.8914547,-17.0373363,-17.2314110,-17.1608620,0.934385300,0.198299408,22.4569893,1.41562712,2.99739909
199.901978,-3.32399154,3.89711298E-02,2.65625000,0.269217610,82.6091385,-17.0519676,-18.3671093,-19.0753002,-19.4467354,-19.7046242,-17.2200584,-18.4458790,-19.1400776,-19.4776955,-19.7114143,2.02333260,0.708190918,20.4335251,1.38654828,3.68301868
199.875122,-3.39929509,3.88667099E-02,2.90614271,1.00000000,127.689903,-18.3587952,-20.0009060,-20.6851559,-20.9977474,-21.2092400,-18.3072357,-19.9246750,-20.6186771,-20.9238472,-21.1289406,2.32636070,0.684249878,18.3688068,1.05689597,3.07149053
