ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
24.2669334,13.7785807,4.78190705E-02,2.55771685,0.786020279,79.1122971,-17.8354874,-18.9675846,-19.5286274,-19.8465958,-20.0637569,-17.6325874,-18.8236656,-19.4308281,-19.7239857,-19.9356670,1.69314003,0.561042786,19.9925804,1.25421834,3.20793581
24.2512894,14.6991606,4.47454304E-02,2.46291113,0.773393929,26.7562408,-18.7085114,-19.3181705,-19.3018093,-19.4562416,-19.4209785,-18.3247490,-19.0650005,-19.1192875,-19.2972221,-19.1469803,0.593297958,-1.63612366E-02,21.1213455,1.84257925,4.53810883
59.5457306,-5.19074202,3.73227783E-02,2.93647122,0.740195274,86.3201828,-17.6621513,-19.3430862,-20.1374207,-20.5128822,-20.7834549,-17.7546120,-19.1928463,-19.9760704,-20.3265419,-20.6001549,2.47526932,0.794334412,19.8222256,1.42242181,4.17690134
177.359055,-3.41409707,4.31455411E-02,2.17012835,0.186736196,39.6542397,-18.6295452,-19.7354050,-20.1377678,-20.3628769,-20.5051861,-18.4807968,-19.7534637,-20.1584167,-20.3481579,-20.3562260,1.50822258,0.402362823,21.4663963,3.57019544,7.74778175
177.367203,-3.51973844,4.32281494E-02,2.48814082,3.83967198E-02,0.00000000,-17.3573494,-18.5931835,-18.9107227,-19.0602608,-19.1745148,-17.0485878,-18.5673237,-18.9265957,-19.1141586,-19.1733665,1.55337334,0.317539215,22.1290913,2.74348998,6.82618856
177.410004,-3.50821996,2.87440997E-02,2.19037795,6.26613572E-02,65.3351898,-18.2269306,-19.5820160,-20.2324257,-20.5747414,-20.8027325,-18.2733994,-19.6192455,-20.2281551,-20.5565529,-20.7166729,2.00549507,0.650409698,20.7792568,2.75634742,6.03744268
144.227829,0.174282178,4.74545211E-02,1.97713983,6.51514679E-02,26.8470306,-17.7735710,-18.8636265,-19.2577610,-19.4829788,-19.6061668,-17.9611721,-18.8744659,-19.2040920,-19.3222580,-19.5773869,1.48418999,0.394134521,22.4717636,3.53700638,6.99315691
222.343384,11.2223139,4.92878184E-02,2.66677237,0.933304608,60.1230316,-17.0419827,-18.5570755,-19.1707001,-19.4545937,-19.6654549,-16.8847542,-18.4458046,-19.0787907,-19.3733044,-19.5866051,2.12871742,0.613624573,20.0683117,1.12818289,3.00860691
139.911911,55.5535583,4.87268306E-02,2.83898759,0.771220088,117.225304,-18.0142059,-19.8144798,-20.6160221,-20.9791889,-21.2722301,-17.9079857,-19.6096897,-20.4319134,-20.7883587,-21.0229397,2.60181618,0.801542282,20.3271637,2.36517549,6.71470356
139.893661,55.5838470,4.62945104E-02,3.26833248,1.00000000,199.298996,-19.1794052,-21.0240879,-21.8521881,-22.2191200,-22.5327606,-18.8411751,-20.8918896,-21.7240181,-22.0984192,-22.3678913,2.67278290,0.828100204,20.0567150,3.80275273,12.4286604
