ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_u petroR50_g petroR50_r petroR50_i petroR50_z
1237648720679796961 147.869319370638 -0.56268959755636 0.0371546 0.1938478 73.17859 19.00941 17.65644 16.93884 16.52445 16.13717 19.10408 17.70037 16.96242 16.52696 16.16061 0.2717431 0.2117404 0.146481 0.1088511 0.08096521 5.741194 5.355084 5.264756 5.024972 5.019125 2.508986 2.468649 2.424277 2.349371 2.421841
1237648720712564960 222.762458147663 -0.527078482857375 0.04301928 1 151.1547 18.10522 16.4614 15.64964 15.23776 14.94514 18.3618 16.46556 15.58536 15.16571 14.8117 0.2040579 0.1590005 0.1099958 0.08173869 0.06079857 10.48317 9.43153 8.62595 8.339458 7.87652 4.925992 3.84622 3.412599 3.331406 3.075366
1237648720712564976 222.766276219626 -0.462203635167967 0.04317676 1 184.6341 17.88059 16.19867 15.33802 14.88369 14.57966 17.93678 16.06115 15.17577 14.73478 14.39741 0.2160739 0.1683633 0.116473 0.0865519 0.06437872 20.13041 8.598506 7.974398 8.606098 7.983658 4.743183 3.63524 3.482465 3.586281 3.419039
1237648721217716376 150.208211947633 -0.149159040367351 0.04281429 0.04603952 66.22937 17.65363 16.10154 15.57918 15.25781 15.08487 17.52312 16.11988 15.57625 15.25449 15.03674 0.1561956 0.1217065 0.08419602 0.06256667 0.04653811 7.75254 8.351339 8.375134 8.565106 8.25451 3.650524 4.149948 4.078013 4.083754 3.934011
1237648721238294705 197.290161813792 -0.199075086743702 0.0279758 0 39.60826 18.62009 17.6619 17.16778 16.93133 16.67821 18.69554 17.6571 17.1252 16.83077 16.54683 0.09813231 0.07646403 0.05289746 0.03930848 0.02923829 7.854376 6.317503 5.817716 5.618184 5.573926 3.472537 2.907231 2.732036 2.575805 2.502709
1237648721746919659 132.790812925694 0.253594921186667 0.04088035 1 216.4886 16.91891 15.18415 14.34172 13.94415 13.64571 16.95202 15.1131 14.27169 13.88047 13.55798 0.1536111 0.1196928 0.0828029 0.06153142 0.04576808 15.28799 8.738929 8.815038 9.044406 8.425472 4.162075 3.62156 3.625264 3.60445 3.528172
1237648721773658261 193.758175515649 0.25964519736814 0.04754457 1 157.6869 18.66849 16.83587 15.9807 15.58229 15.24026 18.60607 16.74188 15.88028 15.48185 15.14413 0.09320677 0.07262608 0.05024239 0.03733548 0.02777074 5.121742 4.968304 4.451749 4.451601 5.391982 2.272099 2.18039 2.023785 1.995476 2.15021
1237649918964924541 13.0499978536601 14.1730720009474 0.0399189 0.064269 80.31137 18.36916 16.88824 16.08693 15.62073 15.2568 18.52583 16.91512 16.05244 15.57968 15.17105 0.2860395 0.22288 0.1541874 0.1145777 0.08522478 27.91861 11.22924 10.9976 10.60128 10.14129 5.512661 4.964294 4.677475 4.643697 4.493581
1237649920580190227 24.0806311934413 14.6568493801269 0.03367898 0.8805804 121.4127 16.42378 15.93959 15.17976 14.71848 14.40225 17.15784 15.8152 15.02146 14.5795 14.27576 0.2185892 0.1703232 0.1178288 0.08755944 0.06512814 106.7252 7.583508 6.444957 7.07574 17.07503 7.42724 3.019248 2.753407 2.935 2.897258
1237649920580518080 24.881818899961 14.7185657319895 0.04860526 1 86.66232 19.3483 17.58221 16.73136 16.32244 16.05421 19.28622 17.53786 16.69222 16.29819 16.0024 0.2367027 0.1844371 0.1275928 0.0948151 0.07052501 4.877672 4.525886 4.774493 4.937093 4.90987 2.06812 1.991162 2.037855 2.056144 2.037231
