  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  6      448160   2      IL     9.724    -15.366   -17.127   -18.098   99.0     99.0     9.08     9.254   13.996   0.004   99.0     
  6      448162   2      IL     9.313    -16.325   -17.337   -17.941   99.0     8.854    9.129    6.211   10.078   0.0     99.0     
  6      448163   2      IL     9.04     -14.201   -15.809   -16.686   99.0     8.29     7.113    7.999   9.834    0.138   99.0     
  6      448165   2      IL     9.9      -16.128   -17.696   -18.612   99.0     9.027    9.018    8.721   10.009   0.971   99.0     
  6      448212   2      IL     9.198    -14.037   -15.794   -16.758   99.0     8.102    6.224    0.15    10.001   0.0     99.0     
  6      448217   2      IL     9.297    -14.271   -15.991   -16.938   99.0     99.0     6.816    1.64    13.996   0.982   99.0     
  6      448232   2      IL     9.423    -16.442   -17.485   -18.133   -0.685   9.32     9.653    4.953   9.86     0.0     -10.108  
  6      448245   2      IL     9.085    -14.725   -16.031   -16.797   99.0     8.512    7.174    0.002   9.627    0.494   99.0     
  6      448289   2      IL     9.334    -14.529   -16.214   -17.156   99.0     8.626    8.293    9.683   9.76     0.0     99.0     
  6      448290   2      IL     9.411    -14.455   -16.253   -17.238   99.0     8.613    6.012    0.016   10.043   0.0     99.0     
  6      448296   2      IL     9.965    -16.278   -17.735   -18.633   99.0     8.84     9.415    9.982   10.043   0.83    99.0     
  6      448301   2      IL     9.363    -14.681   -16.413   -17.36    99.0     99.0     4.075    7.829   13.996   0.0     99.0     
  6      448305   2      IL     9.383    -14.135   -16.018   -17.06    99.0     7.623    3.916    9.003   10.198   0.0     99.0     
  6      448306   2      IL     10.374   -16.568   -18.449   -19.49    99.0     8.23     10.544   9.778   9.986    0.977   99.0     
  6      448324   2      IL     9.151    -14.264   -15.956   -16.878   99.0     99.0     7.187    8.505   13.996   0.0     99.0     
  6      448337   2      IL     9.772    -15.494   -17.278   -18.256   99.0     7.785    8.443    8.646   9.746    0.979   99.0     
  6      448374   2      IL     9.676    -15.148   -16.93    -17.908   99.0     8.239    7.97     9.924   10.013   0.857   99.0     
  6      448394   2      IL     9.574    -15.066   -16.788   -17.735   99.0     7.248    6.63     9.942   9.857    0.049   99.0     
  6      448406   2      IL     9.242    -14.312   -15.978   -16.896   99.0     6.349    5.357    1.256   9.687    0.0     99.0     
  6      448443   2      IL     9.213    -14.481   -16.08    -16.958   99.0     7.346    7.342    0.156   9.39     0.607   99.0     
  6      448455   2      IL     9.136    -13.99    -15.677   -16.612   99.0     99.0     99.0     0.877   13.996   0.0     99.0     
  6      448458   2      IL     9.384    -14.939   -16.445   -17.319   99.0     8.518    7.666    0.031   9.846    0.638   99.0     
  6      448464   2      IL     9.692    -14.917   -16.768   -17.784   99.0     3.464    4.328    0.929   10.176   0.0     99.0     
  6      448465   2      IL     9.739    -15.008   -16.841   -17.862   99.0     8.542    6.898    0.779   10.095   0.758   99.0     
  6      448466   2      IL     9.348    -14.31    -16.111   -17.097   99.0     99.0     5.336    9.817   13.996   0.0     99.0     
  6      448476   2      IL     9.383    -14.53    -16.193   -17.133   99.0     99.0     99.0     1.427   13.996   0.979   99.0     
  6      448503   2      IL     9.176    -14.385   -15.96    -16.867   99.0     8.676    8.554    8.517   9.775    0.0     99.0     
  6      448563   2      IL     10.545   -16.712   -18.686   -19.779   99.0     9.226    11.16    9.311   10.156   0.943   99.0     
  6      448580   2      IL     9.6      -15.233   -16.962   -17.911   99.0     8.493    6.755    8.015   10.119   0.678   99.0     
  6      448590   2      IL     9.573    -15.12    -16.878   -17.839   99.0     99.0     7.265    8.437   13.996   0.0     99.0     
  6      448603   2      IL     10.676   -16.764   -18.796   -19.921   99.0     99.0     10.968   0.801   13.996   0.854   99.0     
  6      448606   2      IL     9.598    -15.779   -17.064   -17.869   99.0     8.451    9.196    0.325   9.947    0.945   99.0     
  6      448609   2      IL     9.427    -14.644   -16.356   -17.304   99.0     6.276    6.071    0.876   9.812    0.0     99.0     
  6      448611   2      IL     9.495    -14.948   -16.564   -17.493   99.0     8.731    7.902    9.991   9.962    0.859   99.0     
  6      448620   2      IL     10.472   -16.743   -18.622   -19.663   99.0     99.0     11.015   0.852   13.996   0.863   99.0     
  6      448623   2      IL     9.484    -15.264   -16.792   -17.673   99.0     8.549    7.825    8.598   9.969    0.646   99.0     
  6      448629   2      IL     9.06     -13.798   -15.503   -16.442   99.0     99.0     99.0     0.158   13.996   0.0     99.0     
  6      448647   2      IL     10.685   -16.868   -18.843   -19.955   99.0     9.246    11.323   1.015   10.094   0.817   99.0     
  6      448658   2      IL     9.255    -15.472   -16.763   -17.517   99.0     8.856    9.363    6.735   9.715    0.027   99.0     
  6      448659   2      IL     9.067    -16.574   -17.44    -17.887   -0.943   8.944    9.876    5.101   9.704    0.0     -10.01   
  6      448669   2      IL     9.08     -14.357   -15.952   -16.826   99.0     7.778    99.0     7.985   9.649    0.978   99.0     
  6      448685   2      IL     9.292    -14.35    -16.062   -17.001   99.0     99.0     4.829    0.899   13.996   0.0     99.0     
  6      448691   2      IL     9.223    -14.463   -16.139   -17.058   99.0     99.0     5.405    8.46    13.996   0.0     99.0     
  6      448738   2      IL     9.23     -14.257   -15.979   -16.922   99.0     99.0     4.638    9.633   13.996   0.0     99.0     
  6      448742   2      IL     10.742   -16.984   -18.982   -20.106   99.0     9.822    11.448   0.274   10.184   0.515   99.0     
  6      448776   2      IL     10.579   -16.983   -18.882   -19.936   99.0     8.761    11.073   0.053   10.079   0.644   99.0     
  6      448785   2      IL     9.237    -14.336   -16.057   -16.995   99.0     99.0     7.837    9.011   13.996   0.0     99.0     
  6      448788   2      IL     9.234    -14.298   -16.003   -16.937   99.0     99.0     6.678    9.552   13.996   0.038   99.0     
  6      448831   2      IL     9.647    -15.351   -17.129   -18.107   99.0     99.0     99.0     6.739   13.996   0.0     99.0     
  6      448865   2      IL     9.201    -14.237   -15.885   -16.802   99.0     99.0     5.572    0.854   13.996   0.0     99.0     
  6      448900   2      IL     9.095    -16.284   -17.185   -17.688   99.0     8.813    9.349    5.88    9.92     0.0     99.0     
  6      448903   2      IL     10.353   -16.166   -18.171   -19.264   99.0     8.481    8.373    0.042   10.253   0.6     99.0     
  6      448907   2      IL     9.009    -15.773   -16.71    -17.246   99.0     8.389    9.396    7.788   9.816    0.0     99.0     
  6      448925   2      IL     9.289    -14.603   -16.286   -17.207   99.0     99.0     7.389    8.237   13.996   0.942   99.0     
  6      448927   2      IL     9.37     -15.237   -16.853   -17.704   99.0     8.973    7.304    7.046   9.963    0.443   99.0     
  6      448938   2      IL     9.908    -16.392   -17.794   -18.637   99.0     8.703    8.777    0.187   9.924    0.952   99.0     
  6      448952   2      IL     10.207   -16.254   -18.075   -19.087   99.0     9.033    7.671    0.388   10.048   0.858   99.0     
  6      448966   2      IL     9.294    -14.572   -16.273   -17.2     99.0     8.423    7.363    8.797   9.936    0.0     99.0     
  6      448968   2      IL     9.021    -14.138   -15.761   -16.65    99.0     99.0     4.343    7.834   13.996   0.0     99.0     
  6      448969   2      IL     9.114    -14.084   -15.743   -16.651   99.0     99.0     99.0     0.69    13.996   0.0     99.0     
  6      448988   2      IL     10.393   -18.407   -19.355   -20.019   0.383    9.815    10.312   5.628   10.247   0.39    -10.01   
  6      449005   2      IL     9.206    -14.148   -15.912   -16.89    99.0     8.604    5.084    7.734   10.011   0.0     99.0     
  6      449017   2      IL     9.082    -14.24    -15.827   -16.694   99.0     7.234    6.974    0.194   9.417    0.076   99.0     
  6      449052   2      IL     9.666    -16.928   -18.019   -18.677   -0.821   9.425    9.148    6.121   10.052   0.0     -10.487  
  6      449107   2      IL     9.009    -16.924   -17.783   -18.179   -0.82    9.211    9.994    3.213   9.657    0.0     -9.829   
  6      449131   2      IL     9.163    -14.455   -16.139   -17.041   99.0     8.348    3.952    6.982   9.931    0.0     99.0     
  6      449138   2      IL     9.599    -15.701   -17.348   -18.253   99.0     8.916    7.836    6.19    10.185   0.0     99.0     
  6      449160   2      IL     9.194    -15.22    -16.579   -17.367   99.0     8.625    9.541    6.599   9.718    0.084   99.0     
  6      449167   2      IL     9.144    -16.011   -17.077   -17.698   99.0     8.804    9.04     4.783   9.879    0.025   99.0     
  6      449172   2      IL     9.421    -16.897   -17.808   -18.348   -0.638   9.049    9.816    5.234   9.964    0.0     -10.059  
  6      449206   2      IL     9.185    -15.36    -16.813   -17.583   99.0     8.825    8.015    5.512   9.966    0.0     99.0     
  6      449207   2      IL     9.753    -17.933   -18.834   -19.357   -0.272   9.665    9.905    4.313   10.046   0.0     -10.025  
  6      449242   2      IL     9.192    -15.654   -16.795   -17.478   99.0     8.694    9.37     6.204   9.812    0.961   99.0     
  6      449244   2      IL     9.473    -17.187   -18.125   -18.655   -0.633   8.922    8.865    3.926   10.117   0.683   -10.106  
  6      449248   2      IL     9.356    -16.619   -17.589   -18.165   -0.947   8.718    9.845    5.641   9.944    0.0     -10.303  
  6      449250   2      IL     9.345    -16.601   -17.542   -18.105   -0.962   8.56     9.73     5.629   9.93     0.0     -10.307  
  6      449262   2      IL     9.491    -14.893   -16.666   -17.662   99.0     8.98     99.0     6.123   10.02    0.645   99.0     
  6      449269   2      IL     9.11     -14.782   -16.175   -16.997   99.0     8.666    9.17     7.266   9.846    0.0     99.0     
  6      449291   2      IL     9.103    -14.149   -15.86    -16.792   99.0     7.739    3.892    7.489   10.055   0.0     99.0     
  6      449300   2      IL     9.74     -17.543   -18.392   -18.918   -0.504   9.039    9.63     6.276   10.145   0.878   -10.244  
  6      449304   2      IL     9.366    -14.992   -16.522   -17.405   99.0     8.205    8.856    8.425   9.815    0.0     99.0     
  6      449366   2      IL     9.44     -16.167   -17.327   -18.02    99.0     8.855    9.315    6.976   9.911    0.0     99.0     
  6      449377   2      IL     10.13    -16.726   -18.474   -19.429   99.0     99.0     10.618   5.854   13.996   0.625   99.0     
  6      449380   2      IL     9.666    -18.021   -18.851   -19.309   -0.246   9.41     9.969    4.199   10.024   0.145   -9.912   
  6      449391   2      IL     9.363    -14.777   -16.487   -17.426   99.0     99.0     99.0     7.206   13.996   0.97    99.0     
  6      449431   2      IL     9.277    -14.434   -16.149   -17.099   99.0     99.0     5.994    7.824   13.996   0.0     99.0     
  6      449437   2      IL     9.025    -14.215   -15.808   -16.676   99.0     99.0     9.392    8.593   13.996   0.0     99.0     
  6      449467   2      IL     9.32     -15.223   -16.781   -17.623   99.0     8.699    9.53     6.889   9.782    0.117   99.0     
  6      449484   2      IL     10.004   -16.209   -18.008   -18.992   99.0     9.092    99.0     6.51    10.177   0.84    99.0     
  6      449489   2      IL     9.201    -14.368   -16.027   -16.936   99.0     99.0     7.941    9.637   13.996   0.0     99.0     
  6      449497   2      IL     9.171    -14.255   -15.915   -16.83    99.0     99.0     99.0     9.884   13.996   0.998   99.0     
  6      449499   2      IL     9.004    -13.619   -15.384   -16.348   99.0     99.0     4.871    8.651   13.996   0.0     99.0     
  6      449528   2      IL     9.003    -13.857   -15.511   -16.416   99.0     6.652    5.257    0.016   9.611    0.109   99.0     
  6      449538   2      IL     9.781    -15.794   -17.554   -18.51    99.0     8.465    99.0     6.771   9.943    0.998   99.0     
  6      449549   2      IL     9.703    -17.963   -18.779   -19.283   -0.296   9.517    10.133   4.467   9.782    0.963   -9.999   
  6      449556   2      IL     9.868    -15.777   -17.603   -18.602   99.0     99.0     99.0     6.703   13.996   0.907   99.0     
  6      449578   2      IL     9.91     -16.104   -17.789   -18.759   99.0     8.998    7.85     5.9     10.247   0.711   99.0     
  6      449580   2      IL     9.294    -17.164   -17.993   -18.447   -0.557   9.034    9.986    4.19    9.922    0.0     -9.851   
  6      449590   2      IL     9.792    -17.376   -18.399   -19.048   -0.682   8.603    10.223   5.266   10.048   0.008   -10.474  
  6      449617   2      IL     9.509    -15.8     -17.042   -17.825   99.0     8.78     9.648    7.589   9.966    0.787   99.0     
  6      449618   2      IL     9.387    -16.962   -17.838   -18.346   -0.707   8.748    9.754    5.699   9.996    0.008   -10.094  
  6      449627   2      IL     9.251    -14.39    -15.974   -16.887   99.0     8.282    5.433    0.618   9.882    0.616   99.0     
  6      449648   2      IL     9.497    -14.857   -16.627   -17.594   99.0     99.0     99.0     8.774   13.996   0.0     99.0     
  6      449652   2      IL     9.277    -16.274   -17.3     -17.907   99.0     8.521    8.962    6.049   10.088   0.0     99.0     
  6      449656   2      IL     9.368    -14.848   -16.267   -17.152   99.0     8.45     6.797    9.917   9.848    0.955   99.0     
  6      449681   2      IL     9.242    -14.399   -16.126   -17.07    99.0     8.828    5.223    7.87    9.988    0.0     99.0     
  6      449683   2      IL     9.009    -14.899   -16.145   -16.889   99.0     8.355    9.438    7.004   9.742    0.0     99.0     
  6      449690   2      IL     9.722    -18.354   -19.269   -19.725   -0.006   9.876    10.252   3.668   9.453    0.128   -9.728   
  6      449696   2      IL     9.474    -15.2     -16.709   -17.586   99.0     8.807    8.131    9.496   9.891    0.869   99.0     
  6      449701   2      IL     9.015    -14.109   -15.742   -16.632   99.0     99.0     8.676    8.202   13.996   0.0     99.0     
  6      449746   2      IL     9.469    -15.022   -16.714   -17.642   99.0     8.146    7.295    7.944   9.897    0.808   99.0     
  6      449761   2      IL     9.168    -14.103   -15.785   -16.707   99.0     99.0     5.844    1.267   13.996   1.0     99.0     
  6      449781   2      IL     9.066    -14.008   -15.792   -16.758   99.0     8.349    7.146    6.356   10.216   0.0     99.0     
  6      449782   2      IL     9.351    -14.844   -16.592   -17.548   99.0     8.698    7.126    5.955   10.115   0.0     99.0     
  6      449789   2      IL     9.232    -15.881   -16.893   -17.527   99.0     8.486    9.4      6.662   9.978    0.116   99.0     
  6      449802   2      IL     9.078    -13.913   -15.621   -16.561   99.0     99.0     7.991    9.348   13.996   0.0     99.0     
  6      449820   2      IL     9.331    -14.806   -16.459   -17.377   99.0     8.194    9.548    7.489   9.756    0.0     99.0     
  6      449827   2      IL     9.456    -16.548   -17.651   -18.302   99.0     9.007    8.873    5.616   10.113   0.01    99.0     
  6      449844   2      IL     9.029    -16.315   -17.253   -17.747   99.0     9.24     9.117    4.868   9.777    0.0     99.0     
  6      449856   2      IL     10.312   -16.201   -18.114   -19.179   99.0     99.0     9.694    0.651   13.996   0.368   99.0     
  6      449870   2      IL     9.221    -14.352   -16.034   -16.955   99.0     5.982    6.191    9.514   9.719    0.0     99.0     
  6      449874   2      IL     9.638    -15.304   -17.004   -17.94    99.0     8.34     7.494    9.635   9.911    0.523   99.0     
  6      449877   2      IL     9.71     -15.856   -17.214   -18.061   99.0     8.925    8.935    0.125   9.927    0.909   99.0     
  6      449915   2      IL     9.105    -13.82    -15.594   -16.563   99.0     7.733    6.06     9.317   10.103   0.0     99.0     
  6      449916   2      IL     9.445    -15.798   -16.965   -17.681   99.0     8.012    99.0     0.896   9.723    0.7     99.0     
  6      449926   2      IL     9.071    -16.087   -17.052   -17.597   99.0     8.575    9.329    5.584   9.823    0.0     99.0     
  6      449962   2      IL     9.06     -13.986   -15.654   -16.566   99.0     99.0     6.833    9.827   13.996   0.0     99.0     
  6      449966   2      IL     10.059   -16.21    -17.893   -18.867   99.0     8.359    9.374    9.243   10.0     0.945   99.0     
  6      449995   2      IL     9.054    -14.513   -16.132   -17.006   99.0     99.0     9.664    5.855   13.996   0.0     99.0     
  6      449999   2      IL     9.765    -15.23    -17.062   -18.076   99.0     99.0     7.302    9.024   13.996   0.358   99.0     
  6      450007   2      IL     9.296    -14.815   -16.356   -17.231   99.0     8.166    7.722    8.68    9.843    0.977   99.0     
  6      450023   2      IL     9.129    -14.367   -15.958   -16.829   99.0     99.0     6.624    0.136   13.996   0.0     99.0     
  6      450041   2      IL     9.127    -13.984   -15.709   -16.654   99.0     99.0     6.44     9.056   13.996   0.08    99.0     
  6      450042   2      IL     10.859   -18.26    -19.742   -20.638   0.188    9.558    6.481    7.749   9.742    0.636   -10.671  
  6      450048   2      IL     9.224    -14.236   -15.948   -16.888   99.0     7.547    8.435    9.873   9.77     0.0     99.0     
  6      450057   2      IL     9.138    -14.015   -15.786   -16.762   99.0     7.907    4.4      7.257   10.107   0.0     99.0     
  6      450058   2      IL     9.344    -14.936   -16.555   -17.439   99.0     99.0     99.0     8.475   13.996   0.999   99.0     
  6      450059   2      IL     9.161    -14.27    -15.941   -16.86    99.0     99.0     5.221    8.218   13.996   0.294   99.0     
  6      450060   2      IL     9.561    -15.222   -16.922   -17.862   99.0     99.0     99.0     7.756   13.996   0.934   99.0     
  6      450064   2      IL     9.022    -14.346   -15.891   -16.734   99.0     99.0     7.773    8.118   13.996   0.154   99.0     
  6      450072   2      IL     9.694    -15.104   -16.908   -17.903   99.0     99.0     8.21     9.9     13.996   0.535   99.0     
  6      450073   2      IL     9.271    -14.546   -16.182   -17.085   99.0     7.934    8.164    0.117   9.652    0.971   99.0     
  6      450075   2      IL     9.213    -14.537   -16.182   -17.079   99.0     99.0     7.936    8.285   13.996   0.197   99.0     
  6      450079   2      IL     9.306    -16.205   -17.294   -17.933   99.0     9.178    9.24     5.694   9.851    0.0     99.0     
  6      450106   2      IL     10.754   -17.252   -19.175   -20.261   99.0     99.0     10.952   0.173   13.996   0.857   99.0     
  6      450121   2      IL     9.081    -14.972   -16.283   -17.032   99.0     8.696    8.647    8.215   9.785    0.0     99.0     
  6      450124   2      IL     9.572    -14.898   -16.661   -17.639   99.0     99.0     5.612    0.151   13.996   0.0     99.0     
  6      450137   2      IL     9.985    -15.898   -17.692   -18.68    99.0     99.0     8.078    9.522   13.996   0.956   99.0     
  6      450156   2      IL     9.484    -14.592   -16.367   -17.372   99.0     99.0     6.287    9.254   13.996   0.0     99.0     
  6      450202   2      IL     9.291    -15.011   -16.44    -17.259   99.0     8.63     7.664    9.586   9.547    0.828   99.0     
  6      450205   2      IL     9.041    -14.057   -15.708   -16.607   99.0     8.356    6.438    9.421   9.854    0.0     99.0     
  6      450214   2      IL     9.491    -14.489   -16.312   -17.314   99.0     4.603    4.846    0.99    10.117   0.0     99.0     
  6      450215   2      IL     10.028   -16.365   -17.821   -18.72    99.0     8.846    8.517    0.889   10.071   0.904   99.0     
  6      450226   2      IL     9.189    -13.752   -15.566   -16.573   99.0     99.0     2.036    0.417   13.996   0.0     99.0     
  6      450232   2      IL     9.127    -14.325   -15.933   -16.812   99.0     99.0     3.995    9.836   13.996   0.0     99.0     
  6      450241   2      IL     9.401    -14.617   -16.35    -17.296   99.0     99.0     7.921    0.191   13.996   0.923   99.0     
  6      450243   2      IL     9.094    -14.35    -15.963   -16.842   99.0     99.0     7.098    8.2     13.996   0.106   99.0     
  6      450261   2      IL     9.271    -14.503   -16.145   -17.046   99.0     99.0     7.449    0.508   13.996   0.964   99.0     
  6      450269   2      IL     9.18     -14.336   -15.935   -16.817   99.0     7.876    0.534    0.965   9.64     0.322   99.0     
  6      450280   2      IL     9.015    -13.841   -15.485   -16.388   99.0     99.0     99.0     1.081   13.996   0.0     99.0     
  6      450293   2      IL     9.475    -15.003   -16.658   -17.569   99.0     8.607    5.793    9.585   9.81     0.793   99.0     
  6      450295   2      IL     9.073    -14.197   -15.817   -16.707   99.0     8.836    6.788    8.786   9.78     0.0     99.0     
  6      450308   2      IL     9.081    -13.79    -15.47    -16.403   99.0     99.0     99.0     1.86    13.996   0.0     99.0     
  6      450310   2      IL     9.039    -13.58    -15.342   -16.314   99.0     99.0     5.282    0.067   13.996   0.003   99.0     
  6      450320   2      IL     9.586    -15.234   -16.905   -17.826   99.0     99.0     8.581    9.775   13.996   0.332   99.0     
  6      450338   2      IL     9.333    -14.273   -16.043   -17.031   99.0     5.87     5.924    9.786   9.853    0.0     99.0     
  6      450374   2      IL     9.2      -14.441   -16.068   -16.96    99.0     7.543    5.791    9.386   9.751    0.338   99.0     
  6      450417   2      IL     9.448    -16.778   -17.739   -18.315   -0.901   9.166    9.446    5.341   9.974    0.876   -10.349  
  6      450456   2      IL     9.286    -14.587   -16.303   -17.249   99.0     8.958    6.03     6.93    9.918    0.004   99.0     
  6      450467   2      IL     9.244    -14.778   -16.412   -17.309   99.0     8.588    5.855    7.054   9.825    0.0     99.0     
  6      450487   2      IL     9.023    -16.453   -17.282   -17.716   99.0     8.863    9.831    5.777   9.767    0.0     99.0     
  6      450501   2      IL     9.741    -15.817   -17.208   -18.102   99.0     8.555    8.224    9.284   10.021   0.933   99.0     
  6      450512   2      IL     9.627    -14.927   -16.764   -17.769   99.0     99.0     99.0     9.386   13.996   0.0     99.0     
  6      450518   2      IL     9.226    -15.224   -16.504   -17.266   99.0     8.775    8.93     8.177   9.855    0.0     99.0     
  6      450519   2      IL     9.353    -15.005   -16.451   -17.313   99.0     8.663    7.904    9.103   9.877    0.955   99.0     
  6      450527   2      IL     10.32    -16.305   -18.212   -19.28    99.0     8.331    10.598   9.373   10.063   0.887   99.0     
  6      450538   2      IL     9.797    -15.589   -17.356   -18.335   99.0     6.866    99.0     7.921   9.965    0.922   99.0     
  6      450571   2      IL     9.227    -15.272   -16.486   -17.232   99.0     8.337    9.664    8.605   9.801    0.0     99.0     
  6      450581   2      IL     10.205   -16.98    -18.22    -19.089   -0.559   9.301    10.045   8.157   10.241   0.834   -10.764  
  6      450588   2      IL     9.252    -14.094   -15.895   -16.879   99.0     8.377    5.438    9.145   10.165   0.021   99.0     
  6      450625   2      IL     9.348    -14.812   -16.453   -17.352   99.0     99.0     9.102    8.744   13.996   0.106   99.0     
  6      450631   2      IL     9.337    -14.619   -16.308   -17.239   99.0     3.893    99.0     9.153   9.753    1.0     99.0     
  6      450635   2      IL     9.523    -14.831   -16.604   -17.593   99.0     99.0     8.123    8.409   13.996   0.149   99.0     
  6      450650   2      IL     9.224    -14.076   -15.852   -16.83    99.0     99.0     99.0     9.146   13.996   0.0     99.0     
  6      450657   2      IL     9.047    -13.967   -15.621   -16.525   99.0     7.825    7.772    0.112   9.69     0.98    99.0     
  6      450670   2      IL     10.042   -16.035   -17.831   -18.822   99.0     99.0     6.449    9.056   13.996   0.622   99.0     
  6      450701   2      IL     9.775    -15.545   -17.306   -18.292   99.0     8.494    9.497    7.884   9.995    0.0     99.0     
  6      450702   2      IL     9.055    -14.266   -15.773   -16.635   99.0     8.585    9.097    9.062   9.556    0.0     99.0     
  6      450712   2      IL     10.46    -17.174   -18.994   -20.005   99.0     9.096    10.963   6.687   10.131   0.759   99.0     
  6      450743   2      IL     9.796    -15.6     -17.339   -18.297   99.0     99.0     7.385    9.023   13.996   0.696   99.0     
  6      450748   2      IL     10.681   -17.246   -19.145   -20.205   99.0     99.0     11.316   9.806   13.996   0.976   99.0     
  6      450792   2      IL     9.238    -14.198   -16.003   -16.996   99.0     7.891    5.215    7.226   10.143   0.0     99.0     
  6      450803   2      IL     9.323    -15.349   -16.83    -17.645   99.0     99.0     8.29     6.372   13.996   0.0     99.0     
  6      450846   2      IL     9.001    -14.196   -15.76    -16.614   99.0     99.0     99.0     9.265   13.996   0.0     99.0     
  6      450849   2      IL     9.161    -14.461   -16.1     -16.994   99.0     99.0     6.82     7.898   13.996   0.083   99.0     
  6      450854   2      IL     10.405   -16.636   -18.59    -19.668   99.0     8.98     10.334   7.325   10.285   0.923   99.0     
  6      450858   2      IL     9.177    -15.391   -16.51    -17.217   99.0     8.138    9.738    7.403   9.683    0.036   99.0     
  6      450859   2      IL     9.081    -15.016   -16.283   -17.022   99.0     8.914    8.789    7.827   9.813    0.0     99.0     
  6      450860   2      IL     9.743    -15.724   -17.351   -18.286   99.0     8.753    8.46     8.17    10.16    0.0     99.0     
  6      450865   2      IL     10.738   -17.356   -19.289   -20.364   99.0     9.649    10.828   8.974   10.09    0.694   99.0     
  6      450873   2      IL     10.413   -16.808   -18.646   -19.669   99.0     99.0     9.972    9.038   13.996   0.665   99.0     
  6      450883   2      IL     9.472    -14.633   -16.45    -17.46    99.0     8.099    4.847    7.895   10.119   0.0     99.0     
  6      450894   2      IL     10.057   -15.576   -17.494   -18.594   99.0     99.0     8.312    7.884   13.996   0.951   99.0     
  6      450903   2      IL     9.678    -17.52    -18.509   -19.086   -0.367   9.722    9.38     4.282   9.952    0.0     -10.045  
  6      450920   2      IL     9.349    -14.587   -16.278   -17.208   99.0     99.0     8.203    9.996   13.996   0.912   99.0     
  6      450938   2      IL     9.033    -14.526   -16.126   -16.985   99.0     99.0     99.0     6.38    13.996   0.0     99.0     
  7      473249   2      IL     9.344    -17.446   -18.299   -18.765   -0.585   9.225    10.168   3.309   9.829    0.05    -9.929   
  7      473277   2      IL     9.969    -17.54    -18.484   -19.13    -0.076   9.688    10.006   4.685   10.142   0.879   -10.045  
  7      473278   2      IL     9.066    -14.586   -16.077   -16.922   99.0     8.53     9.3      6.901   9.744    0.0     99.0     
  7      473295   2      IL     9.906    -15.761   -17.606   -18.62    99.0     8.723    99.0     7.203   10.084   0.998   99.0     
  7      473307   2      IL     10.443   -18.216   -19.319   -20.094   -0.256   9.955    10.798   6.857   10.015   0.963   -10.699  
  7      473423   2      IN     9.321    -15.119   -16.74    -17.619   99.0     6.743    8.415    5.852   9.751    0.0     99.0     
  7      473445   2      IL     9.605    -17.505   -18.478   -19.079   -0.399   9.513    10.242   3.878   9.737    0.956   -10.004  
  7      473455   2      IL     9.179    -14.593   -16.246   -17.15    99.0     8.576    5.92     6.795   9.803    0.0     99.0     
  7      473474   2      IN     9.254    -17.877   -18.652   -19.006   -0.327   9.313    10.176   2.678   9.738    0.0     -9.581   
  7      473485   2      IL     9.318    -16.819   -17.793   -18.354   -0.917   9.013    9.92     3.906   9.84     0.0     -10.235  
  7      473486   2      IL     9.638    -17.218   -18.139   -18.725   -0.195   9.251    10.156   3.999   10.044   0.001   -9.833   
  7      473491   2      IN     9.373    -17.114   -17.992   -18.514   -0.717   9.341    9.862    4.183   9.845    0.95    -10.09   
  7      473523   2      IL     9.096    -15.374   -16.531   -17.22    99.0     8.614    8.866    6.582   9.967    0.0     99.0     
  7      473532   2      IL     9.127    -17.171   -17.991   -18.389   -0.691   9.315    9.742    3.781   9.765    0.0     -9.818   
  7      473557   2      IL     9.397    -17.788   -18.579   -18.984   -0.372   9.203    9.719    3.228   10.025   0.0     -9.769   
  7      473570   2      IL     10.388   -19.317   -20.197   -20.712   0.483    9.749    10.163   3.817   10.414   0.719   -9.905   
  7      473597   2      IL     9.415    -17.251   -18.091   -18.572   -0.578   8.92     9.684    4.784   10.097   0.0     -9.993   
  7      473605   2      IL     9.167    -14.526   -16.107   -16.989   99.0     8.552    9.026    7.902   9.825    0.0     99.0     
  7      473653   2      IL     9.014    -14.239   -15.821   -16.684   99.0     8.027    99.0     8.164   9.649    0.99    99.0     
  7      473682   2      IL     10.178   -17.682   -18.842   -19.589   -0.395   9.391    9.82     6.151   9.794    0.886   -10.573  
  7      473691   2      IL     9.448    -14.971   -16.697   -17.633   99.0     8.734    99.0     7.706   9.962    0.999   99.0     
  7      473710   2      IN     9.98     -16.131   -17.913   -18.889   99.0     99.0     9.471    6.76    13.996   0.932   99.0     
  7      473711   2      IN     9.003    -14.472   -16.033   -16.878   99.0     8.211    9.502    6.79    9.498    0.0     99.0     
  7      473715   2      IN     9.482    -16.212   -17.446   -18.207   99.0     8.875    9.761    5.397   9.905    0.996   99.0     
  7      473718   2      IL     9.438    -14.768   -16.52    -17.477   99.0     99.0     8.652    8.827   13.996   0.0     99.0     
  7      473731   2      IL     9.081    -15.31    -16.453   -17.137   99.0     8.722    8.696    6.432   9.84     0.763   99.0     
  7      473779   2      IL     10.087   -18.438   -19.329   -19.892   -0.09    9.322    10.28    4.569   10.194   0.442   -10.177  
  7      473785   2      IL     9.52     -18.055   -18.814   -19.203   -0.265   9.447    10.172   3.882   9.974    0.0     -9.785   
  7      473788   2      IL     9.163    -14.861   -16.405   -17.24    99.0     8.866    7.903    7.01    9.882    0.0     99.0     
