  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  11     14663    0      IN     9.984    -18.932   -19.771   -20.208   0.25     9.938    10.59    4.051   9.764    0.063   -9.734   
  14     189557   1      CL     9.462    -15.174   -16.64    -17.561   99.0     8.082    9.066    6.928   9.996    0.0     99.0     
  27     225383   1      IN     9.259    -16.494   -17.65    -18.246   99.0     8.943    10.034   4.053   9.871    0.0     99.0     
  9      180968   1      IL     9.243    -14.406   -16.119   -17.063   99.0     8.241    8.798    7.907   9.818    0.0     99.0     
  9      181887   1      RI     10.064   -18.097   -19.072   -19.664   -0.255   9.732    10.179   6.393   10.005   0.568   -10.319  
  5      193337   1      RI     10.601   -19.76    -20.67    -21.21    0.865    9.994    10.825   3.559   10.422   0.013   -9.736   
  27     225754   1      IN     10.931   -18.442   -20.09    -21.097   -0.277   9.763    11.187   5.169   9.984    0.922   -11.208  
  29     234109   1      CL     10.356   -16.644   -18.532   -19.588   99.0     99.0     10.588   7.171   13.996   0.408   99.0     
  8      198895   1      RI     10.059   -18.66    -19.476   -19.965   0.168    9.764    10.282   4.061   10.203   0.675   -9.891   
  20     88904    0      BS     9.528    -15.361   -17.082   -18.014   99.0     7.84     9.452    6.47    9.832    0.047   99.0     
  17     199854   1      IL     9.104    -15.18    -16.485   -17.233   99.0     8.923    9.106    6.198   9.789    0.0     99.0     
  21     26849    0      IL     9.272    -18.131   -18.856   -19.171   -0.245   9.601    10.302   2.529   9.699    0.0     -9.517   
  26     66251    0      BS     9.034    -15.98    -17.037   -17.607   -0.987   9.005    9.867    4.501   9.536    0.0     -10.021  
  26     202384   1      RI     9.101    -17.556   -18.325   -18.66    -0.492   9.359    10.128   2.874   9.682    0.0     -9.593   
  4      37571    0      IL     9.066    -17.637   -18.378   -18.69    -0.41    8.705    10.242   2.535   9.652    0.0     -9.476   
  28     18816    0      IN     9.807    -18.921   -19.648   -20.022   0.115    9.333    10.543   3.254   10.086   0.0     -9.692   
  1      37067    0      IN     9.221    -17.494   -18.348   -18.752   -0.62    9.224    10.205   3.073   9.758    0.0     -9.841   
  15     41484    0      IN     9.177    -17.334   -18.122   -18.504   -0.623   9.379    10.101   3.866   9.697    0.209   -9.8     
  21     195141   1      IN     9.707    -17.594   -18.438   -18.959   -0.429   9.06     10.049   5.157   10.149   0.837   -10.136  
  4      192023   1      RI     10.233   -18.873   -19.742   -20.287   0.306    9.909    10.014   4.045   10.145   0.53    -9.927   
  18     38481    0      BS     9.771    -16.764   -17.933   -18.678   -0.973   9.245    9.82     6.737   9.842    0.979   -10.744  
  19     187086   1      BS     9.294    -16.788   -17.765   -18.315   -0.712   9.3      9.71     3.87    9.825    0.179   -10.006  
  2      29994    0      IL     9.336    -17.084   -17.97    -18.485   -0.293   9.336    10.316   3.16    9.798    0.0     -9.629   
  9      181930   1      BS     10.434   -16.823   -18.673   -19.703   99.0     9.099    11.031   9.016   10.026   0.831   99.0     
  17     61606    0      IN     9.274    -16.0     -17.199   -17.907   99.0     9.326    9.806    5.027   9.778    0.0     99.0     
  15     219643   1      RI     9.889    -16.565   -17.791   -18.606   -0.733   9.32     9.709    6.836   9.929    0.032   -10.622  
  29     38584    0      IN     9.31     -17.427   -18.215   -18.625   -0.59    9.168    10.174   4.356   9.86     0.0     -9.9     
  11     25084    0      BS     10.186   -16.398   -18.25    -19.284   99.0     99.0     10.104   6.281   13.996   0.785   99.0     
  14     31117    0      IL     9.197    -17.975   -18.739   -19.055   -0.216   9.27     10.31    2.301   9.664    0.0     -9.413   
  13     27038    0      IL     9.383    -18.222   -18.951   -19.287   -0.204   9.456    10.36    2.93    9.792    0.147   -9.587   
  27     226588   1      IN     9.143    -17.454   -18.248   -18.611   -0.534   9.249    10.104   3.354   9.713    0.0     -9.677   
  1      168576   0      BS     9.119    -14.841   -16.428   -17.282   99.0     99.0     8.76     5.379   13.996   0.0     99.0     
  5      1430     0      IL     10.687   -17.342   -19.208   -20.264   99.0     9.56     11.799   8.677   9.252    0.999   99.0     
  7      230118   1      RI     10.466   -16.814   -18.679   -19.714   99.0     8.734    10.654   9.965   10.009   0.99    99.0     
  12     235960   1      RI     9.284    -15.643   -16.797   -17.51    99.0     9.132    9.542    6.768   9.864    0.017   99.0     
  26     10166    0      IL     10.096   -18.683   -19.429   -19.913   0.498    10.141   10.77    3.342   10.104   0.778   -9.598   
  30     31590    0      IL     9.282    -17.999   -18.752   -19.081   -0.3     9.38     10.286   3.003   9.759    0.0     -9.582   
  15     219697   1      CL     9.837    -17.998   -18.816   -19.322   -0.208   9.639    10.225   5.03    9.964    0.907   -10.045  
  2      195969   1      IL     9.304    -17.055   -17.899   -18.369   -0.746   8.723    10.061   4.856   9.95     0.0     -10.05   
  8      41421    0      IN     9.154    -17.375   -18.134   -18.508   -0.601   9.007    10.164   3.576   9.774    0.0     -9.755   
  1      239465   1      BS     9.215    -16.554   -17.554   -18.117   99.0     8.712    9.828    4.123   9.863    0.0     99.0     
  19     187094   1      RI     9.354    -17.082   -17.979   -18.496   -0.62    8.923    9.908    4.054   9.794    0.894   -9.974   
  8      3897     0      IL     10.451   -16.054   -18.042   -19.22    99.0     8.265    11.377   8.356   9.75     0.945   99.0     
  27     12626    0      IL     10.082   -19.274   -20.026   -20.446   0.359    9.913    10.678   3.448   10.163   0.078   -9.723   
  14     10036    0      IN     10.088   -20.523   -21.117   -21.397   1.579    9.679    10.748   2.142   10.018   1.0     -8.509   
  31     6667     0      IN     10.418   -19.537   -20.298   -20.794   0.721    10.468   10.89    3.604   10.141   0.172   -9.697   
  31     12695    0      BS     10.592   -17.564   -19.106   -20.058   -0.497   8.979    10.427   9.463   10.071   0.754   -11.089  
  6      223239   1      RI     9.274    -16.831   -17.791   -18.3     -0.736   9.082    10.015   4.914   9.454    0.0     -10.01   
  21     194964   1      CL     9.514    -16.775   -17.772   -18.381   -0.62    9.253    9.951    5.654   9.826    0.0     -10.134  
  26     202308   1      CL     9.558    -17.342   -18.483   -19.059   -0.805   8.457    10.053   4.309   9.586    0.0     -10.363  
  8      4250     0      IL     10.447   -16.985   -18.836   -19.871   99.0     8.267    11.347   6.898   10.086   0.792   99.0     
  8      3667     0      IL     10.63    -16.95    -18.923   -20.013   99.0     9.873    11.402   9.11    10.198   0.868   99.0     
