cls   ra         dec        z    Mr01      ur    mur     kr50    C    stellarmass    sfr    ssfr     Dn4000   class   Zc   sigma     Mvir      Rvir   R200   w   dist     Pe   Ps    
  11     138.009201   47.763401   0.053   -21.381   2.581   18.919   2.009   3.347   11.032   -1.035   -12.119   1.988   -1      0.052   408.979   1.204E14   1.032   1.012   0.014   0.459   0.94    0.06   
  11     138.029007   47.746601   0.051   -18.925   1.346   20.94    1.649   2.325   9.418    -0.217   -9.69     1.174   1       0.052   408.979   1.204E14   1.032   1.012   0.41    0.41    0.0     0.98   
  11     137.973907   47.6838     0.053   -19.809   2.327   20.376   1.904   2.46    10.431   -0.813   -11.283   1.699   4       0.052   408.979   1.204E14   1.032   1.012   0.122   0.518   0.15    0.81   
  11     138.062698   47.806      0.053   -19.694   1.527   21.479   2.998   2.243   9.855    0.072    -9.837    1.273   1       0.052   408.979   1.204E14   1.032   1.012   0.143   0.411   0.0     0.96   
  11     138.014999   47.7257     0.051   -20.624   2.548   19.268   1.67    2.935   10.737   -0.672   -11.457   1.972   2       0.052   408.979   1.204E14   1.032   1.012   0.039   0.427   0.72    0.28   
  11     138.2724     47.764999   0.051   -19.924   2.556   18.88    1.014   2.775   10.493   -1.427   -11.976   1.934   -1      0.052   408.979   1.204E14   1.032   1.012   0.103   0.102   0.76    0.14   
  11     138.0728     48.039501   0.05    -19.532   2.307   20.806   2.061   2.443   10.319   -0.252   -10.625   1.498   1       0.052   408.979   1.204E14   1.032   1.012   0.177   0.784   0.04    0.96   
  11     138.112701   47.8125     0.052   -20.291   2.392   20.294   2.289   2.979   10.511   -1.2     -11.784   1.925   -1      0.052   408.979   1.204E14   1.032   1.012   0.062   0.351   0.75    0.25   
  11     138.136597   47.627399   0.049   -20.67    2.499   19.813   2.2     2.908   10.748   -1.216   -12.031   1.888   -1      0.052   408.979   1.204E14   1.032   1.012   0.037   0.313   0.77    0.19   
  11     138.156403   47.675201   0.053   -19.899   2.507   19.72    1.468   3.025   10.453   -1.348   -11.867   1.831   -1      0.052   408.979   1.204E14   1.032   1.012   0.107   0.242   0.03    0.82   
  11     138.220993   47.704399   0.053   -20.603   2.406   19.309   1.683   3.236   10.64    -1.115   -11.794   1.889   -1      0.052   408.979   1.204E14   1.032   1.012   0.041   0.115   0.37    0.28   
  11     138.205307   47.7192     0.053   -18.925   2.439   20.299   1.224   2.939   9.958    -1.768   -11.771   1.83    -1      0.052   408.979   1.204E14   1.032   1.012   0.412   0.136   0.37    0.28   
  11     138.1026     47.769299   0.049   -19.576   2.16    20.631   1.936   2.707   10.186   -0.881   -11.117   1.565   2       0.052   408.979   1.204E14   1.032   1.012   0.166   0.299   0.4     0.56   
  11     138.075302   47.687302   0.052   -20.335   2.474   19.554   1.663   3.143   10.556   -1.305   -11.927   1.874   -1      0.052   408.979   1.204E14   1.032   1.012   0.059   0.349   0.94    0.05   
  11     137.391602   47.6105     0.05    -19.15    1.176   21.623   2.507   2.169   9.387    0.026    -9.415    1.191   1       0.052   408.979   1.204E14   1.032   1.012   0.3     1.409   0.06    0.73   
  11     137.693298   47.578899   0.05    -19.417   2.782   21.033   2.16    2.71    10.367   -1.093   -11.512   1.618   5       0.052   408.979   1.204E14   1.032   1.012   0.208   0.966   0.03    0.97   
  11     137.627899   47.257401   0.05    -19.455   2.392   19.934   1.326   2.757   10.14    -1.011   -11.205   1.601   5       0.052   408.979   1.204E14   1.032   1.012   0.197   1.471   0.17    0.82   
  11     137.590195   47.339901   0.052   -19.668   2.016   20.143   1.604   2.855   10.23    0.478    -9.796    1.26    1       0.052   408.979   1.204E14   1.032   1.012   0.148   1.451   0.42    0.58   
  11     138.082001   47.580002   0.049   -20.975   2.254   20.366   3.267   2.477   10.821   0.002    -10.876   1.594   3       0.052   408.979   1.204E14   1.032   1.012   0.024   0.446   0.0     0.3    
  11     138.114502   47.6194     0.051   -19.532   2.474   19.462   1.103   3.207   10.241   -1.646   -11.95    1.953   -1      0.052   408.979   1.204E14   1.032   1.012   0.178   0.367   0.77    0.19   
  11     138.104904   47.5476     0.05    -21.28    2.679   20.318   3.666   2.543   11.125   -1.17    -12.336   1.978   4       0.052   408.979   1.204E14   1.032   1.012   0.016   0.491   0.0     1.0    
  11     138.347595   47.817101   0.05    -21.13    2.537   19.208   2.054   3.218   10.931   -1.149   -12.117   1.964   -1      0.052   408.979   1.204E14   1.032   1.012   0.019   0.232   0.93    0.03   
  11     138.402298   47.776001   0.051   -19.257   2.42    20.028   1.265   2.843   10.148   -1.581   -11.797   1.922   -1      0.052   408.979   1.204E14   1.032   1.012   0.259   0.218   0.57    0.38   
  11     138.335495   47.719398   0.052   -20.277   2.508   19.047   1.286   2.791   10.61    -0.527   -11.179   1.886   2       0.052   408.979   1.204E14   1.032   1.012   0.064   0.08    0.78    0.22   
  11     138.353104   47.768002   0.053   -19.231   2.222   21.094   2.033   2.371   10.144   -0.568   -10.759   1.575   2       0.052   408.979   1.204E14   1.032   1.012   0.27    0.152   0.03    0.97   
  11     138.285904   47.6735     0.051   -20.066   2.499   19.267   1.293   2.957   10.495   -1.386   -11.926   1.902   -1      0.052   408.979   1.204E14   1.032   1.012   0.085   0.121   0.29    0.69   
  11     138.282196   47.708401   0.051   -21.607   2.667   19.674   3.168   3.259   11.229   -1.009   -12.286   2.093   5       0.052   408.979   1.204E14   1.032   1.012   0.01    0.047   1.0     0.0    
  11     138.274002   47.217999   0.052   -18.866   1.365   21.045   1.679   2.323   9.356    -0.229   -9.648    1.194   1       0.052   408.979   1.204E14   1.032   1.012   0.446   1.199   0.0     0.95   
  11     138.579895   47.727901   0.052   -20.547   2.513   19.382   1.697   3.2     10.689   -0.705   -11.434   1.823   2       0.052   408.979   1.204E14   1.032   1.012   0.044   0.465   0.65    0.35   
  11     138.496399   47.935501   0.05    -20.409   2.563   19.603   1.767   2.625   10.616   -1.406   -12.074   1.914   -1      0.052   408.979   1.204E14   1.032   1.012   0.053   0.579   0.16    0.81   
  11     138.444      47.769501   0.049   -19.933   1.769   20.293   1.958   2.675   10.167   0.565    -9.66     1.304   3       0.052   408.979   1.204E14   1.032   1.012   0.101   0.256   0.05    0.92   
  11     138.435898   47.704601   0.052   -21.294   2.667   19.315   2.325   3.103   11.072   -1.169   -12.261   1.986   -1      0.052   408.979   1.204E14   1.032   1.012   0.016   0.237   0.65    0.23   
  11     138.5867     47.813      0.051   -18.673   2.403   20.568   1.238   2.574   9.741    -1.659   -11.453   1.677   -1      0.052   408.979   1.204E14   1.032   1.012   0.581   0.507   0.25    0.57   
  11     138.470596   47.7616     0.05    -18.828   2.222   20.619   1.367   2.929   9.857    -1.271   -11.199   1.715   -1      0.052   408.979   1.204E14   1.032   1.012   0.467   0.29    0.11    0.89   
  11     138.528107   47.829201   0.052   -19.876   2.038   20.857   2.456   2.297   10.38    -0.032   -10.464   1.458   2       0.052   408.979   1.204E14   1.032   1.012   0.111   0.457   0.02    0.95   
  11     138.611694   47.430401   0.05    -20.033   2.632   20.268   2.021   3.011   10.708   -0.547   -11.299   1.78    5       0.052   408.979   1.204E14   1.032   1.012   0.088   0.827   0.03    0.95   
  11     138.646393   47.495399   0.051   -20.453   2.378   19.251   1.533   3.202   10.552   -1.076   -11.679   1.741   5       0.052   408.979   1.204E14   1.032   1.012   0.05    0.767   0.8     0.14   
  11     138.764496   47.880001   0.051   -20.348   2.502   19.271   1.476   2.72    10.66    -1.028   -11.734   1.834   -1      0.052   408.979   1.204E14   1.032   1.012   0.057   0.833   0.38    0.07   
  11     138.663696   47.693401   0.052   -20.811   2.041   19.618   2.138   3.129   10.673   0.312    -10.413   1.495   3       0.052   408.979   1.204E14   1.032   1.012   0.03    0.606   0.03    0.28   
  11     138.694504   47.683899   0.052   -19.105   2.455   20.275   1.321   2.46    10.04    -1.218   -11.306   1.597   5       0.052   408.979   1.204E14   1.032   1.012   0.32    0.65    0.18    0.8    
  11     138.640503   47.657799   0.051   -18.471   2.204   20.601   1.146   2.597   9.754    -1.534   -11.335   1.857   -1      0.052   408.979   1.204E14   1.032   1.012   0.769   0.57    0.29    0.51   
  11     139.068893   47.560799   0.052   -20.337   2.633   19.328   1.515   3.347   10.682   -1.156   -11.889   1.91    5       0.052   408.979   1.204E14   1.032   1.012   0.059   1.299   0.07    0.6    
  11     138.957901   47.540401   0.051   -20.372   2.38    18.823   1.22    3.187   10.524   -1.066   -11.677   1.904   -1      0.052   408.979   1.204E14   1.032   1.012   0.056   1.124   0.66    0.06   
  11     139.2836     47.4118     0.051   -19.835   1.769   20.013   1.648   2.257   10.127   0.251    -9.918    1.245   1       0.052   408.979   1.204E14   1.032   1.012   0.117   1.707   0.31    0.6    
