 cls ig      ra           dec       ty 
  3  29      13.65042      -1.65056  2
  3  30      13.59833      -1.65917  2
  3  31      13.52125      -1.66111  2
  3  32      13.52167      -1.62222  2
  3  33      13.49208      -1.63222  1
  3  34      13.48208      -1.61028  1
  3  35      13.44792      -1.64972  3
  3  36      13.38917      -1.61333  3
  3  37      13.37167      -1.60472  1
  3  38      13.19875      -1.62333  2
  3  39      13.78458      -1.58167  4
  3  40      13.67208      -1.55611  3
  3  41      13.57500      -1.54333  2
  3  42      13.55375      -1.55083  4
  3  43      13.52292      -1.56583  3
  3  44      13.46792      -1.54556  1
  3  45      13.42792      -1.58444  1
  3  46      13.41542      -1.54056  1
  3  47      13.35667      -1.57139  2
  3  48      13.30500      -1.55667  3
  3  49      13.29875      -1.59556  2
  3  50      13.27917      -1.58333  3
  3  51      13.21458      -1.58000  2
  3  52      13.18875      -1.54833  1
  3  53      13.18750      -1.58917  1
  3  54      13.26917      -1.55028  2
  3  55      13.18583      -1.55694  1
  3  56      13.12500      -1.58861  2
  3  57      13.60458      -1.52722  1
  3  58      13.59750      -1.48222  3
  3  59      13.48208      -1.49694  1
  3  60      13.46708      -1.53306  1
  3  61      13.45542      -1.48056  3
  3  62      13.43542      -1.51222  1
  3  63      13.43375      -1.53250  2
  3  64      13.43500      -1.53056  1
  3  65      13.41333      -1.54000  1
  3  66      13.42708      -1.52556  1
  3  67      13.40250      -1.53833  2
  3  68      13.34250      -1.51806  2
  3  69      13.20542      -1.48250  3
  3  70      13.13333      -1.50444  2
  3  71      13.13167      -1.52417  3
  3  72      13.57958      -1.42889  2
  3  73      13.49500      -1.45778  1
  3  74      13.48792      -1.44278  2
  3  75      13.44792      -1.44694  2
  3  76      13.32375      -1.43528  3
  3  77      13.82583      -1.40528  3
  3  78      13.52000      -1.39583  2
  3  79      13.46250      -1.41333  3
  3  80      13.43750      -1.40528  2
  3  81      13.41958      -1.41444  2
  3  82      13.40375      -1.41028  2
  3  83      13.40375      -1.38750  2
  3  84      13.23333      -1.40389  2
  3  85      13.03458      -1.39500  3
  3  86      13.53083      -1.30444  2
  3  87      13.38583      -1.32778  2
  3  88      13.33958      -1.33472  3
  3  89      13.16708      -1.34667  3
  3  90      13.14750      -1.31694  3
  3  91      13.28958      -1.30417  2
  3  92      13.81375      -1.27389  2
  3  93      13.66833      -1.28278  1
  3  94      13.65583      -1.28889  2
  3  95      13.45875      -1.25722  1
  3  96      13.74417      -1.19750  2
  3  97      13.63083      -1.18889  2
  3  98      13.59625      -1.21361  2
  3  99      13.33792      -1.19083  1
  3 100      13.18125      -1.18917  3
  3 101      12.96875      -1.19917  2
  3 102      13.33625      -1.19278  1
  3 103      13.77708      -1.16278  2
  3 104      13.62250      -1.14333  1
  3 105      13.61833      -1.14500  1
  3 106      13.61875      -1.15000  1
  3 107      13.55667      -1.14861  2
  3 108      13.54542      -1.14556  1
  3 109      13.33333      -1.17139  2
  3 110      13.27458      -1.14694  3
  3 111      13.83500      -1.08444  1
  3 112      13.61250      -1.09500  2
  3 113      13.47417      -1.06250  1
  3 114      13.37250      -1.09833  2
  3 115      13.15750      -1.08083  3
  3 116      13.32375      -1.08417  1
  3 117      13.71458      -1.00972  2
  3 118      13.21708      -1.01333  2
  4   1      16.45750     -16.37889  3
  4   2      16.31208     -16.41250  3
  4   3      16.05583     -16.39028  2
  4   4      16.02667     -16.37361  3
  4   5      16.61958     -16.31778  2
  4   6      16.60292     -16.34722  3
  4   7      16.39125     -16.33444  3
  4   8      17.19083     -16.27361  2
  4   9      16.78625     -16.25083  2
  4  10      16.65708     -16.26667  3
  4  11      16.64417     -16.27528  3
  4  12      16.62333     -16.26167  2
  4  13      17.11875     -16.20778  3
  4  14      17.11792     -16.21056  2
  4  15      16.98667     -16.24667  2
  4  16      16.58958     -16.21445  1
  4  17      16.50958     -16.23028  1
  4  18      16.30167     -16.23639  3
  4  19      16.65750     -16.12750  3
  4  20      16.43542     -16.15028  3
  4  21      17.29708     -16.09167  3
  4  22      16.58125     -16.11139  3
  4  23      16.55583     -16.09972  1
  4  24      16.55000     -16.12083  2
  4  25      17.05667     -16.03333  2
  4  26      16.65250     -16.05389  2
  4  27      16.29875     -16.04194  3
  4  28      16.89250     -15.97528  3
  4  29      16.58542     -15.96056  3
  4  30      16.31500     -15.96611  1
  4  31      16.13500     -15.94528  3
  4  32      16.88875     -15.88917  2
  4  33      16.55625     -15.92444  3
  4  34      16.52250     -15.88722  2
  4  35      16.49750     -15.91028  2
  4  36      17.33958     -15.87194  3
  4  37      16.90375     -15.82972  1
  4  38      16.50500     -15.84222  3
  4  39      15.85917     -15.82611  3
