 cls ig      ra           dec       ty 
 12 218      86.18833     -25.16889  2
 12 219      86.10042     -25.19833  3
 12 220      85.88625     -25.15917  1
 12 221      85.86875     -25.15556  1
 12 222      86.71625     -25.12889  3
 12 223      86.41250     -25.12472  3
 12 224      86.38500     -25.09945  2
 12 225      86.36750     -25.14056  3
 12 226      86.35208     -25.12250  3
 12 227      85.79375     -25.14417  3
 12 228      85.70292     -25.11806  3
 12 229      86.88583     -25.09056  2
 12 230      86.49917     -25.04056  3
 12 231      86.65791     -25.00500  3
 12 232      86.18500     -24.98250  1
 12 233      85.65250     -25.00167  2
 12 234      86.96792     -24.96417  2
 12 235      86.78584     -24.90389  3
 13   1     114.75166       8.79667  2
 13   2     114.87625       8.85361  3
 13   3     114.55583       8.89361  1
 13   4     114.55334       8.91778  2
 13   5     114.37000       8.93417  2
 13   6     114.99792       8.95861  2
 13   7     114.96042       8.97667  3
 13   8     115.58875       9.04556  3
 13   9     114.89000       9.03139  3
 13  10     114.31125       9.03250  3
 13  11     115.46250       9.18306  3
 13  12     115.32417       9.13694  2
 13  13     115.50125       9.20694  3
 13  14     115.36958       9.22778  3
 13  15     115.23875       9.28833  2
 13  16     115.09708       9.30083  2
 13  17     114.83125       9.27000  3
 13  18     114.68459       9.28472  3
 13  19     115.36292       9.35611  2
 13  20     115.32166       9.36583  1
 13  21     115.25750       9.32417  3
 13  22     115.24250       9.36611  2
 13  23     115.02500       9.33278  2
 13  24     115.55375       9.40694  3
 13  25     115.40583       9.37139  2
 13  26     115.09458       9.39306  3
 13  27     115.03833       9.40139  1
 13  28     114.37083       9.41417  2
 13  29     115.16625       9.48056  3
 13  30     115.14792       9.48361  2
 13  31     115.05500       9.46861  3
 13  32     115.03500       9.47556  2
 13  33     114.99792       9.48778  1
 13  34     114.98583       9.49278  1
 13  35     114.91292       9.44639  2
 13  36     115.58292       9.50944  2
 13  37     115.33667       9.54472  3
 13  38     115.03000       9.54806  3
 13  39     114.87625       9.52361  2
 13  40     114.84792       9.51583  2
 13  41     114.35917       9.53083  3
 13  42     114.91417       9.57444  1
 13  43     115.55791       9.61972  3
 13  44     115.39083       9.64778  2
 13  45     115.22583       9.63500  3
 13  46     115.13042       9.66611  2
 13  47     115.12833       9.65528  2
 13  48     114.43625       9.70528  3
 13  49     114.36542       9.73694  3
 13  50     115.61166       9.78000  3
 13  51     115.42667       9.74556  2
 13  52     115.02458       9.75472  3
 13  53     114.93833       9.76722  2
 13  54     114.35083       9.77417  3
 13  55     115.42208       9.81417  2
 13  56     114.35375       9.84417  2
 13  57     114.28416       9.88194  2
 13  58     115.42583      10.08000  3
 13  59     114.29333      10.13556  2
 13  60     114.36459      10.19528  1
 13  61     115.02084       9.50528  2
 14   1     136.52708     -10.14639  1
 14   2     136.39250     -10.15417  2
 14   3     136.18750     -10.16611  3
 14   4     136.50166     -10.10722  2
 14   5     136.31125     -10.08611  3
 14   6     136.16167     -10.08806  3
 14   7     135.96834     -10.09306  3
 14   8     136.65500     -10.05611  2
 14   9     136.45250     -10.01500  2
 14  10     136.31375      -9.97333  2
 14  11     136.16417      -9.96194  3
 14  12     136.06833      -9.97750  1
 14  13     136.07124      -9.94056  3
 14  14     135.85542      -9.94250  1
 14  15     137.29333      -9.92417  3
 14  16     137.09750      -9.89361  3
 14  17     136.35249      -9.90389  3
 14  18     136.40709      -9.86667  3
 14  19     136.40584      -9.83333  2
 14  20     136.38042      -9.82250  3
 14  21     137.08875      -9.80111  2
 14  22     136.80417      -9.80722  2
 14  23     136.74583      -9.76500  2
 14  24     136.43875      -9.79778  3
 14  25     136.40208      -9.79056  1
 14  26     136.38583      -9.77750  3
 14  27     136.11000      -9.80194  2
 14  28     135.96959      -9.77611  3
 14  29     136.94292      -9.74694  3
 14  30     136.87833      -9.69722  3
 14  31     136.77875      -9.75583  2
 14  32     136.74374      -9.74556  1
 14  33     136.35292      -9.71250  1
 14  34     136.34958      -9.72722  3
 14  35     136.27499      -9.69556  3
 14  36     136.00125      -9.72528  3
 14  37     135.99542      -9.69500  3
 14  38     135.92250      -9.64111  3
 14  39     137.20917      -9.62389  3
 14  40     137.00874      -9.61694  2
 14  41     136.99959      -9.59861  3
 14  42     136.72958      -9.57472  3
 14  43     136.61375      -9.62528  3
 14  44     136.55667      -9.61778  1
 14  45     137.29417      -9.53444  3
 14  46     137.22084      -9.56111  2
 14  47     137.19875      -9.53806  3
 14  48     137.11458      -9.53222  2
 14  49     137.04417      -9.56972  1
 14  50     137.01584      -9.57083  3
 14  51     136.98584      -9.56833  2
 14  52     136.82542      -9.52750  2
 14  53     136.80499      -9.51806  1
 14  54     136.79083      -9.53500  2
 14  55     136.78667      -9.54694  3
 14  56     136.78792      -9.56139  2
 14  57     136.72833      -9.52083  2
 14  58     136.69292      -9.56639  2
 14  59     136.66000      -9.53167  3
 14  60     136.46375      -9.52333  3
 14  61     136.20876      -9.51861  2
 14  62     136.91792      -9.47528  2
 14  63     136.82500      -9.50306  2
 14  64     136.78708      -9.49556  2
 14  65     136.75874      -9.48167  2
 14  66     136.74625      -9.49639  2
 14  67     136.72125      -9.49472  1
 14  68     136.68959      -9.49139  2
 14  69     136.62209      -9.47444  1
 14  70     136.56792      -9.49667  3
 14  71     136.43500      -9.48944  2
 14  72     136.33125      -9.46583  2
 14  73     136.28708      -9.49694  2
 14  74     136.24126      -9.46528  2
 14  75     136.13374      -9.45028  2
 14  76     135.89084      -9.45417  3
 14  77     136.97792      -9.43444  2
 14  78     136.96417      -9.41278  1
 14  79     136.88750      -9.43417  2
 14  80     136.82834      -9.43806  2
 14  81     136.76250      -9.41611  2
 14  82     136.75542      -9.42694  1
 14  83     136.75250      -9.44944  3
 14  84     136.69792      -9.43333  2
 14  85     136.65334      -9.44139  2
 14  86     136.63542      -9.41528  2
 14  87     136.63374      -9.39556  1
 14  88     136.62541      -9.39389  2
 14  89     136.57375      -9.39833  3
 14  90     136.55333      -9.43667  1
 14  91     136.52625      -9.42639  1
 14  92     136.52167      -9.43639  1
 14  93     136.50166      -9.42306  1
 14  94     136.48792      -9.43556  2
 14  95     136.48708      -9.43222  1
 14  96     136.45667      -9.41389  2
 14  97     136.19667      -9.41306  2
 14  98     136.16458      -9.40222  2
 14  99     135.92667      -9.40361  2
 14 100     136.99292      -9.34028  2
 14 101     136.98958      -9.33889  2
 14 102     136.89166      -9.38972  1
 14 103     136.72458      -9.35500  2
 14 104     136.71417      -9.36194  2
 14 105     136.60417      -9.38833  3
 14 106     136.56375      -9.37278  2
 14 107     136.52126      -9.36750  2
 14 108     136.50458      -9.35667  1
 14 109     136.46167      -9.35167  2
 14 110     136.43417      -9.32917  2
 14 111     136.28792      -9.36333  2
 14 112     136.23334      -9.36472  2
 14 113     136.16917      -9.35028  2
 14 114     136.03625      -9.35083  2
 14 115     137.04750      -9.29694  2
 14 116     136.64333      -9.30306  3
 14 117     136.60875      -9.32639  1
 14 118     136.57292      -9.30167  4
 14 119     136.57249      -9.30333  4
 14 120     136.57249      -9.31000  2
 14 121     136.48042      -9.31611  3
 14 122     136.45250      -9.30222  2
 14 123     136.46500      -9.38639  2
 14 124     136.43124      -9.31389  2
 14 125     136.24542      -9.29528  1
 14 126     136.94083      -9.23028  3
 14 127     136.61458      -9.26028  2
 14 128     136.50166      -9.27306  3
 14 129     136.30542      -9.24833  3
 14 130     136.30417      -9.22861  3
 14 131     136.75000      -9.17500  1
 14 132     136.33125      -9.18944  3
 14 133     136.16792      -9.19139  2
 14 134     136.02959      -9.15889  2
 14 135     135.93625      -9.18194  3
 14 136     135.97292      -9.12111  2
 14 137     136.52916      -9.05500  2
 14 138     136.44167      -9.08750  2
 14 139     136.23083      -9.07500  3
 14 140     136.15834      -9.04583  3
 14 141     136.12167      -9.04806  2
 14 142     136.32542      -9.00639  3
 14 143     137.14500      -8.95056  3
 14 144     136.99959      -8.92111  3
 14 145     136.59125      -8.94639  1
 14 146     136.14375      -8.92278  3
 14 147     136.60208      -8.89528  3
 14 148     136.08417      -8.79611  3
 14 149     137.25166      -8.75556  3
 14 150     136.63417      -8.74639  2
 15   1     144.09125      -5.39778  2
 15   2     143.02417      -5.43611  3
 15   3     143.33875      -5.35222  3
 15   4     143.13208      -5.30861  3
 15   5     143.04459      -5.31667  3
 15   6     144.25458      -5.24944  3
 15   7     143.99875      -5.22611  3
 15   8     143.29541      -5.20583  3
 15   9     143.40625      -5.16917  3
 15  10     144.25583      -5.08083  3
 15  11     143.22375      -5.13028  3
 15  12     142.94749      -5.13194  3
 15  13     143.71208      -5.04417  3
 15  14     143.62833      -5.03917  2
 15  15     144.17583      -4.97972  3
 15  16     143.62750      -4.97778  2
 15  17     143.48958      -4.96833  2
 15  18     143.63208      -4.97167  2
 15  19     143.90666      -4.93528  3
 15  20     143.61708      -4.89444  3
 15  21     143.44624      -4.88083  2
 15  22     143.41750      -4.88806  1
 15  23     143.41208      -4.88194  3
 15  24     143.11583      -4.84472  3
 15  25     143.66417      -4.81139  1
 15  26     143.66000      -4.81194  1
 15  27     143.64333      -4.81444  1
 15  28     143.49959      -4.80889  1
 15  29     143.61958      -4.74917  3
 15  30     143.28000      -4.76528  3
 15  31     143.27834      -4.76417  2
 15  32     143.75291      -4.70167  2
 15  33     143.71124      -4.69389  2
 15  34     143.58749      -4.70028  3
 15  35     143.33376      -4.70917  3
 15  36     144.36626      -4.60417  4
 15  37     144.03084      -4.62194  2
 15  38     143.62625      -4.63111  3
 15  39     143.29167      -4.63306  4
 15  40     143.48625      -4.58444  3
 15  41     143.28625      -4.53583  1
 15  42     143.26334      -4.56028  3
 15  43     143.23459      -4.53972  3
 15  44     143.17000      -4.54556  1
 15  45     143.16417      -4.54722  3
 15  46     143.31084      -4.52306  2
 15  47     144.37209      -4.42667  3
 15  48     143.35791      -4.42222  3
 15  49     144.32916      -4.36306  3
 15  50     143.89833      -4.37944  3
 15  51     144.33208      -4.34500  3
 15  52     144.32001      -4.31556  3
 15  53     144.27208      -4.30722  3
 15  54     144.22542      -4.31167  2
 15  55     143.74750      -4.32611  3
 15  56     144.23792      -4.27472  3
 15  57     144.11292      -4.15778  2
 15  58     143.23541      -4.14222  1
 15  59     144.33333      -4.07444  2
 15  60     144.30792      -4.09639  2
 15  61     144.01750      -4.10278  1
 15  62     143.86667      -4.05889  3
 16   1     153.44708      -1.26278  3
 16   2     153.20750      -1.26139  3
 16   3     152.28500      -1.21667  3
 16   4     153.19083      -1.18639  3
 16   5     152.73209      -1.20139  2
 16   6     152.39833      -1.17222  3
 16   7     152.35791      -1.18444  3
 16   8     153.58292      -1.13083  2
 16   9     153.48334      -1.08694  3
 16  10     153.07208      -1.13611  3
 16  11     153.10083      -1.02917  2
 16  12     153.06958      -1.05333  2
 16  13     152.98167      -1.04056  3
 16  14     152.98167      -1.03417  2
 16  15     153.51167      -1.00667  2
 16  16     153.41458      -0.97472  3
 16  17     152.98291      -0.98139  3
 16  18     152.28209      -1.02389  3
 16  19     152.17833      -0.99917  2
 16  20     153.54834      -0.90444  3
 16  21     153.26042      -0.91167  3
 16  22     153.22749      -0.95333  3
 16  23     152.16251      -0.94056  2
 16  24     153.08501      -0.90250  4
 16  25     153.48125      -0.84556  2
 16  26     153.07375      -0.87278  2
 16  27     153.00874      -0.85167  3
 16  28     152.98833      -0.85806  3
 16  29     152.84792      -0.86722  2
 16  30     152.52499      -0.86750  2
 16  31     152.74374      -0.75000  1
 16  32     152.73666      -0.76083  3
 16  33     152.93417      -0.70361  2
 16  34     152.86000      -0.67583  2
 16  35     152.85583      -0.70167  2
 16  36     152.80624      -0.66472  3
 16  37     152.80417      -0.70194  2
 16  38     152.77792      -0.66583  1
 16  39     152.77042      -0.67611  1
 16  40     152.73083      -0.67389  1
 16  41     152.72792      -0.67806  3
 16  42     152.71791      -0.66139  2
 16  43     152.96791      -0.62222  2
 16  44     152.97708      -0.65278  3
 16  45     153.01125      -0.63750  2
 16  46     152.89958      -0.64917  2
 16  47     152.84334      -0.63694  2
 16  48     152.83376      -0.62778  1
 16  49     152.78625      -0.65778  2
 16  50     152.77834      -0.61472  2
 16  51     152.73083      -0.64333  2
 16  52     152.70876      -0.65278  2
 16  53     152.62125      -0.64833  3
 16  54     152.60709      -0.64417  3
 16  55     153.57750      -0.54333  1
 16  56     153.02499      -0.58056  3
 16  57     153.00500      -0.58056  2
 16  58     153.00333      -0.58667  2
 16  59     152.71208      -0.59444  3
 16  60     152.68625      -0.58444  3
 16  61     153.58000      -0.52250  3
 16  62     153.33250      -0.51778  3
 16  63     153.06084      -0.51361  3
 16  64     152.67000      -0.52972  2
 16  65     152.47792      -0.46222  2
 16  66     152.95500      -0.37500  3
 16  67     152.75999      -0.37417  2
 16  68     152.59541      -0.21750  3
 16  69     152.59584      -0.22222  3
 16  70     153.35709      -0.14944  2
 16  71     153.32916      -0.15222  1
 16  72     152.50792      -0.16028  3
 16  73     152.14917      -0.15500  3
 16  74     153.33875      -0.09194  1
 16  75     153.05083      -0.08972  1
 16  76     152.83083      -0.07000  3
 16  77     153.28416      -0.09778  2
 16  78     153.29208      -0.00167  3
 16  79     152.62958       0.05583  3
 16  80     153.00792       0.09389  3
 16  81     152.80792       0.07333  2
 16  82     152.33875       0.09278  1
 16  83     152.19667       0.07611  3
 16  84     153.38542      -0.65806  3
 17   1     154.46208      -6.89278  3
 17   2     154.31084      -6.88000  3
 17   3     154.52333      -6.86167  3
 17   4     154.93791      -6.75667  3
 17   5     154.37750      -6.78167  3
 17   6     154.08667      -6.74611  3
 17   7     155.03542      -6.73861  3
 17   8     154.58583      -6.72417  3
 17   9     154.45667      -6.70361  3
 17  10     155.01750      -6.65917  3
 17  11     154.53375      -6.63778  3
 17  12     154.46916      -6.63444  2
 17  13     154.45500      -6.63917  1
 17  14     154.44125      -6.65167  1
 17  15     154.29042      -6.62167  2
 17  16     154.57709      -6.57111  3
 17  17     154.56041      -6.60778  3
 17  18     154.55624      -6.56833  1
 17  19     154.29916      -6.61556  3
 17  20     154.25626      -6.56722  2
 17  21     154.18666      -6.56444  3
 17  22     153.99667      -6.59528  3
 17  23     153.98291      -6.59500  3
 17  24     154.53250      -6.55500  3
 17  25     154.43375      -6.55028  3
 17  26     154.74208      -6.47389  2
 17  27     154.60834      -6.46361  3
 17  28     154.44125      -6.48056  3
 17  29     154.99417      -6.42528  2
 17  30     154.67958      -6.38694  2
 17  31     154.63625      -6.41583  2
 17  32     154.58167      -6.42444  2
 17  33     154.44376      -6.41167  2
 17  34     154.23750      -6.40667  3
 17  35     154.20583      -6.40583  3
 17  36     153.83333      -6.42722  2
 17  37     154.57625      -6.34056  3
 17  38     154.62875      -6.27611  2
 17  39     154.61333      -6.28194  1
 17  40     154.55542      -6.28000  2
 17  41     154.48459      -6.27417  1
 17  42     154.18709      -6.28833  2
 17  43     154.47542      -6.23361  2
 17  44     154.45291      -6.25000  1
 17  45     154.42084      -6.23583  2
 17  46     154.14041      -6.24000  3
 17  47     154.37833      -6.14722  2
 17  48     154.12833      -6.13917  3
 17  49     154.49791      -6.10167  3
 17  50     154.30583      -6.09361  3
 17  51     154.47917      -6.01694  3
 17  52     154.78084      -5.96583  3
 17  53     154.39874      -5.96250  3
 17  54     154.28000      -5.96917  3
 17  55     154.59833      -5.92389  3
 17  56     154.38959      -5.93944  2
 17  57     154.38417      -5.90333  3
 17  58     154.12083      -5.92972  3
 17  59     154.40042      -5.88694  2
 17  60     153.94417      -5.75500  2
 17  61     154.98917      -5.69806  2
 17  62     153.80417      -5.69667  3
 17  63     154.99001      -5.65639  3
 17  64     154.31084      -5.64278  3
 17  65     153.97792      -5.64611  3
 17  66     154.75500      -5.59750  1
 17  67     154.30083      -5.51583  2
 17  68     154.18292      -5.51972  3
 17  69     153.98625      -6.06056  3
 18   1     155.10625      -8.34361  3
 18   2     155.00333      -8.34611  3
 18   3     154.54167      -8.32694  2
 18   4     154.52083      -8.34083  1
 18   5     154.45125      -8.35528  3
 18   6     154.44583      -8.32500  3
 18   7     154.40334      -8.35056  3
 18   8     154.06958      -8.30000  2
 18   9     153.72125      -8.33833  3
 18  10     154.49916      -8.27972  2
 18  11     154.26416      -8.25722  2
 18  12     154.19083      -8.25667  3
 18  13     154.36749      -8.21139  3
 18  14     154.34541      -8.20139  2
 18  15     154.03291      -8.18139  3
 18  16     153.90042      -8.22500  3
 18  17     153.88042      -8.13139  2
 18  18     154.32042      -8.10917  3
 18  19     154.45416      -7.98944  2
 18  20     154.66708      -7.91639  3
 18  21     154.36125      -7.88472  3
 18  22     154.29916      -7.87917  3
 18  23     154.71500      -7.85778  1
 18  24     154.60916      -7.86694  2
 18  25     154.52834      -7.85250  1
 18  26     154.46500      -7.80333  1
 18  27     153.84291      -7.75389  3
 18  28     155.05499      -7.74861  3
 18  29     154.41959      -7.72972  3
 18  30     154.11375      -7.72306  3
 18  31     153.93625      -7.71472  3
 18  32     153.77916      -7.69583  3
 18  33     153.75333      -7.70250  3
 18  34     155.07333      -7.69750  3
 18  35     154.74001      -7.68361  1
 18  36     154.73625      -7.66944  3
 18  37     154.60458      -7.69000  3
 18  38     154.57417      -7.67417  3
 18  39     154.45792      -7.64167  1
 18  40     154.34917      -7.65694  2
 18  41     154.64291      -7.63167  2
 18  42     154.58250      -7.61083  3
 18  43     154.47333      -7.63361  2
 18  44     154.43834      -7.63500  3
 18  45     154.42291      -7.59639  1
 18  46     154.34042      -7.59306  1
 18  47     154.28041      -7.61139  2
 18  48     154.92166      -7.55361  3
 18  49     154.64291      -7.52722  1
 18  50     154.63750      -7.54000  2
 18  51     154.45291      -7.54389  3
 18  52     154.41000      -7.52889  3
 18  53     154.39542      -7.56306  3
 18  54     154.33542      -7.51750  2
 18  55     154.26292      -7.52611  1
 18  56     153.85126      -7.54583  3
 18  57     154.71666      -7.49278  3
 18  58     154.60709      -7.46778  3
 18  59     154.52625      -7.49167  1
 18  60     154.35875      -7.46917  3
 18  61     154.79709      -7.42583  2
 18  62     154.68250      -7.45500  3
 18  63     154.50833      -7.44694  2
 18  64     154.41499      -7.43611  3
 18  65     153.81958      -7.44361  3
 18  66     154.70125      -7.38889  3
 18  67     154.64917      -7.36472  3
 18  68     154.28583      -7.38111  3
 18  69     154.31459      -7.33250  3
 18  70     153.75166      -7.32889  3
 18  71     154.03334      -7.28111  3
 18  72     154.62042      -7.22806  3
 18  73     154.59209      -7.21667  3
 18  74     154.86958      -7.15778  3
 18  75     154.01125      -7.19833  3
 18  76     153.83250      -7.15528  1
 18  77     154.85042      -7.09917  2
 18  78     154.61084      -7.13278  3
 18  79     154.54541      -7.12389  3
 18  80     153.96458      -7.12861  2
 18  81     153.95291      -7.11556  3
 18  82     154.84334      -7.09306  1
 18  83     154.75792      -6.98278  1
 18  84     154.33250      -7.00194  3
 18  85     154.03792      -6.92250  3
 18  86     154.46791      -6.89361  3
 18  87     154.31625      -6.88028  3
 19   1     155.44542      -5.40583  3
 19   2     155.22250      -5.42722  3
 19   3     154.48000      -5.40194  2
 19   4     154.26791      -5.40111  3
 19   5     154.23083      -5.42444  3
 19   6     154.22501      -5.40528  3
 19   7     155.39999      -5.37667  3
 19   8     155.22583      -5.32917  2
 19   9     155.01416      -5.36583  2
 19  10     154.91000      -5.35806  3
 19  11     154.54750      -5.36139  2
 19  12     154.46791      -5.38194  3
 19  13     154.17458      -5.37806  3
 19  14     154.15208      -5.37000  3
 19  15     154.39375      -5.26389  3
 19  16     154.34708      -5.30417  3
 19  17     154.83875      -5.23111  3
 19  18     154.75458      -5.26306  1
 19  19     154.71458      -5.21556  2
 19  20     154.24374      -5.22917  2
 19  21     155.45209      -5.14444  1
 19  22     154.98666      -5.13694  3
 19  23     155.19542      -5.07944  2
 19  24     154.92792      -5.07917  3
 19  25     154.34958      -5.02222  2
 19  26     154.13458      -5.05278  3
 19  27     154.80542      -5.00750  3
 19  28     154.38542      -5.01278  2
 19  29     154.35916      -4.99306  3
 19  30     155.34166      -4.93611  3
 19  31     154.41667      -4.93917  1
 19  32     155.38417      -4.87889  2
 19  33     154.90625      -4.82028  3
 19  34     154.66125      -4.81583  1
 19  35     154.34541      -4.80278  2
 19  36     154.34000      -4.79972  2
 19  37     154.83917      -4.74694  2
 19  38     154.83125      -4.73361  2
 19  39     154.80792      -4.75611  3
 19  40     154.47667      -4.72667  2
 19  41     154.46625      -4.73472  3
 19  42     154.45958      -4.75000  3
 19  43     154.43541      -4.76444  2
 19  44     154.31166      -4.72556  2
 19  45     155.03375      -4.66194  3
 19  46     154.87833      -4.66139  2
 19  47     154.85001      -4.68583  2
 19  48     154.74458      -4.70611  3
 19  49     154.60916      -4.69917  3
 19  50     154.38417      -4.68917  4
 19  51     154.97417      -4.65278  3
 19  52     154.85208      -4.63750  2
 19  53     154.77499      -4.65028  2
 19  54     154.74083      -4.61500  3
 19  55     154.71083      -4.63306  3
 19  56     154.64999      -4.65611  2
 19  57     155.29958      -4.59111  3
 19  58     155.27208      -4.59972  3
 19  59     154.96791      -4.59528  2
 19  60     154.84125      -4.58500  2
 19  61     154.71625      -4.58750  2
 19  62     154.60709      -4.57556  3
 19  63     154.18333      -4.55444  2
 19  64     155.28291      -4.53556  3
 19  65     154.56500      -4.48583  3
 19  66     154.51042      -4.49778  3
 19  67     154.49834      -4.47806  3
 19  68     154.20125      -4.51167  3
 19  69     154.62083      -4.45611  3
 19  70     154.58624      -4.41611  3
 19  71     154.35916      -4.44944  2
 19  72     154.34708      -4.44083  3
 19  73     155.00084      -4.41250  2
 19  74     154.79709      -4.35583  3
 19  75     154.70958      -4.40528  3
 19  76     154.51500      -4.36694  2
 19  77     155.47375      -4.35917  2
 19  78     155.05042      -4.34250  3
 19  79     154.54958      -4.31333  1
 19  80     154.54625      -4.30806  2
 19  81     154.53876      -4.33972  2
 19  82     154.50166      -4.32333  2
 19  83     154.45000      -4.31556  3
 19  84     154.32167      -4.29833  3
 19  85     154.18834      -4.31944  3
 19  86     155.38625      -4.26250  3
 19  87     154.55499      -4.23306  2
 19  88     154.54916      -4.28444  3
 19  89     154.58583      -4.23028  1
 19  90     154.16499      -4.23028  1
 19  91     155.36292      -4.22139  3
 19  92     155.42876      -4.13000  2
 19  93     155.42625      -4.16000  3
 19  94     154.38083      -4.15639  2
 19  95     154.20833      -4.16694  3
 19  96     154.11333      -4.16500  1
 19  97     155.53583      -4.06972  3
 19  98     155.35249      -4.07889  3
 19  99     154.77499      -4.06028  3
 19 100     154.28542      -3.99583  2
 19 101     154.24208      -4.01833  3
 19 102     154.76292      -3.95500  3
 19 103     154.41125      -3.97722  2
 20   1     159.99834      -9.02861  3
 20   2     159.71249      -8.88000  3
 20   3     158.75751      -8.88889  2
 20   4     159.57001      -8.75056  3
 20   5     159.47458      -8.77000  3
 20   6     158.99292      -8.76139  3
 20   7     159.59250      -8.67806  3
 20   8     159.47501      -8.71361  3
 20   9     159.35374      -8.70556  1
 20  10     158.99667      -8.70667  3
 20  11     159.60167      -8.62750  3
 20  12     159.59416      -8.62444  2
 20  13     159.50417      -8.62750  3
 20  14     159.59584      -8.58917  2
 20  15     159.47958      -8.57611  2
 20  16     159.47417      -8.59889  2
 20  17     159.55333      -8.52611  3
 20  18     159.36874      -8.52944  2
 20  19     159.34625      -8.41611  1
 20  20     159.33376      -8.42444  2
 20  21     159.30542      -8.42556  2
 20  22     159.37416      -8.38083  3
 20  23     158.76459      -8.38750  3
 20  24     159.36292      -8.32333  3
 20  25     159.30959      -8.32222  1
 20  26     159.69792      -8.25556  3
 20  27     159.69376      -8.25639  3
 20  28     159.30125      -8.28083  3
 20  29     159.28125      -8.28111  2
 20  30     159.25667      -8.24472  2
 20  31     159.13333      -8.24667  3
 20  32     159.24709      -8.18139  3
 20  33     159.80750      -8.16139  3
 20  34     159.35542      -8.05250  1
 20  35     158.70583      -8.07056  3
 20  36     159.48917      -8.00000  3
 20  37     159.48291      -8.00528  3
 20  38     159.84459      -7.94639  2
 20  39     159.81375      -7.98639  2
 20  40     159.01375      -7.92917  2
 20  41     159.80042      -7.95972  2
 20  42     159.13126      -7.89167  3
 20  43     158.92500      -7.91111  3
 20  44     159.52374      -7.83167  3
 20  45     159.76416      -7.69500  3
 20  46     159.52292      -7.73889  2
 20  47     159.50291      -7.70583  3
 20  48     159.64667      -7.61194  3
 21   1     164.19708       1.07722  2
 21   2     163.99001       1.17278  2
 21   3     163.55417       1.18917  3
 21   4     163.48250       1.25361  3
 21   5     163.31084       1.27667  3
 21   6     163.44917       1.31417  3
 21   7     164.36375       1.38111  3
 21   8     163.93292       1.40944  3
 21   9     164.18208       1.42222  2
 21  10     164.13251       1.45083  3
 21  11     163.80251       1.52056  2
 21  12     164.35208       1.55417  2
 21  13     163.40416       1.57139  3
 21  14     164.65250       1.62667  3
 21  15     164.14708       1.65250  3
 21  16     164.01958       1.65000  2
 21  17     163.96875       1.65139  2
 21  18     164.27625       1.72250  3
 21  19     164.20416       1.72889  2
 21  20     164.15750       1.70861  2
 21  21     164.11333       1.68056  3
 21  22     164.09541       1.70583  3
 21  23     164.01083       1.67861  2
 21  24     164.01125       1.69028  3
 21  25     163.58000       1.70194  3
 21  26     163.59166       1.74750  3
 21  27     163.56375       1.72500  2
 21  28     163.93875       1.82750  2
 21  29     163.78751       1.83472  2
 21  30     163.61375       1.83417  2
 21  31     163.44417       1.80778  3
 21  32     163.35042       1.81250  3
 21  33     164.36208       1.89556  3
 21  34     164.19333       1.86722  1
 21  35     164.15292       1.87417  3
 21  36     163.92166       1.88417  1
 21  37     163.91167       1.87472  1
 21  38     163.91417       1.87000  2
 21  39     163.90250       1.87222  2
 21  40     163.78250       1.87500  2
 21  41     163.74417       1.88889  1
 21  42     163.60374       1.87000  3
 21  43     163.56041       1.88000  3
 21  44     164.07584       1.93750  2
 21  45     164.07208       1.91917  2
 21  46     163.86375       1.90250  2
 21  47     163.82333       1.94528  3
 21  48     163.81459       1.91639  3
 21  49     163.65334       1.92250  2
 21  50     164.23750       2.00944  3
 21  51     163.88499       1.99944  2
 21  52     163.83667       1.99389  2
 21  53     164.36501       2.04528  2
 21  54     164.15375       2.07806  3
 21  55     163.44417       2.03167  3
 21  56     163.27000       2.05000  2
 21  57     163.82542       2.13611  3
 21  58     164.63417       2.13778  3
 21  59     164.14084       2.16167  3
 21  60     164.13499       2.15083  3
 21  61     164.12541       2.15056  3
 21  62     163.78792       2.29917  3
 21  63     163.40250       2.33056  2
 21  64     164.49249       2.38472  3
 22   1     164.51334      10.14556  3
 22   2     164.49292      10.10167  3
 22   3     164.44667      10.10889  3
 22   4     164.21167      10.10472  2
 22   5     164.08501      10.10083  2
 22   6     164.47041      10.19833  1
 22   7     164.96750      10.25000  3
 22   8     164.49083      10.22528  3
 22   9     164.45917      10.22167  3
 22  10     164.33667      10.26083  2
 22  11     164.42667      10.31556  3
 22  12     164.23000      10.29778  1
 22  13     164.14125      10.28944  3
 22  14     164.12666      10.28028  3
 22  15     164.53250      10.34000  1
 22  16     164.32500      10.35972  3
 22  17     164.29750      10.39306  3
 22  18     164.28250      10.33889  3
 22  19     164.70500      10.49833  2
 22  20     164.93541      10.51250  1
 22  21     164.83917      10.56389  2
 22  22     164.83292      10.56000  3
 22  23     164.70084      10.56250  2
 22  24     164.38000      10.52389  3
 22  25     164.19542      10.53722  3
 22  26     164.94749      10.61250  3
 22  27     164.86166      10.60222  3
 22  28     164.79083      10.59861  3
 22  29     164.59666      10.58361  2
 22  30     164.44458      10.59222  2
 22  31     164.71249      10.63250  2
 22  32     164.38916      10.63861  3
 22  33     164.34166      10.65528  2
 22  34     164.28751      10.68917  3
 22  35     164.65958      10.75000  4
 22  36     164.50375      10.70583  2
 22  37     164.27708      10.73056  3
 22  38     164.91917      10.77639  3
 22  39     164.91292      10.78667  2
 22  40     164.58708      10.77417  1
