 logrho,rho,tipo
  0.398208231     ,   2.50154448     ,           3
  0.731899977     ,   5.39386415     ,           2
  0.819682539     ,   6.60210705     ,           3
  0.938870132     ,   8.68700600     ,           3
   1.18420172     ,   15.2827549     ,           2
   1.10368156     ,   12.6964264     ,           2
  0.883169532     ,   7.64133978     ,           1
  0.806002736     ,   6.39738846     ,           3
  0.640128255     ,   4.36644793     ,           3
  0.622123599     ,   4.18912745     ,           3
   1.13126528     ,   13.5289860     ,           1
   1.42523456     ,   26.6216240     ,           2
   1.53638530     ,   34.3862839     ,           2
   1.37252808     ,   23.5791435     ,           1
   1.36029351     ,   22.9241638     ,           1
   1.17623270     ,   15.0048838     ,           3
   1.31453586     ,   20.6317425     ,           1
   1.12420332     ,   13.3107738     ,           3
   1.03578091     ,   10.8587761     ,           2
  0.912272155     ,   8.17094231     ,           2
  0.844710767     ,   6.99376059     ,           3
   1.16072035     ,   14.4783945     ,           3
   1.21762550     ,   16.5053768     ,           2
   1.37252808     ,   23.5791435     ,           1
   1.18420172     ,   15.2827549     ,           2
   1.05327177     ,   11.3050299     ,           3
  0.786258459     ,   6.11305666     ,           1
   1.09052002     ,   12.3174286     ,           2
   1.24449766     ,   17.5589161     ,           3
   1.27314305     ,   18.7561245     ,           2
   1.37252808     ,   23.5791435     ,           2
   1.39808226     ,   25.0081882     ,           2
   1.55486870     ,   35.8813438     ,           2
   1.48523259     ,   30.5655804     ,           1
   1.57417393     ,   37.5123253     ,           1
   1.45419836     ,   28.4576073     ,           3
   1.55486870     ,   35.8813438     ,           3
   1.61556661     ,   41.2635574     ,           1
   1.36029351     ,   22.9241638     ,           2
  0.855895102     ,   7.17620945     ,           4
   1.36029351     ,   22.9241638     ,           3
   1.43947506     ,   27.5090179     ,           2
   1.55486870     ,   35.8813438     ,           4
   1.57417393     ,   37.5123253     ,           3
   1.91659701     ,   82.5271912     ,           1
   1.96235466     ,   91.6968918     ,           1
   2.07149911     ,   117.896027     ,           1
   1.77046895     ,   58.9479713     ,           2
   1.48523259     ,   30.5655804     ,           3
   1.48523259     ,   30.5655804     ,           2
   1.55486870     ,   35.8813438     ,           3
   1.55486870     ,   35.8813438     ,           2
   1.66132426     ,   45.8484077     ,           1
   1.51865649     ,   33.0108337     ,           1
