 m_medio phi phi_hist 
  -22.8833332       4.16204974E+17   17.6193066    
  -22.6499996       1.33398070E+18   18.1251488    
  -22.4166660       4.00136168E+18   18.6022072    
  -22.1833324       1.00655496E+19   19.0028381    
  -21.9500008       2.28346861E+19   19.3585949    
  -21.7166672       4.57962118E+19   19.6608295    
  -21.4833336       7.99962175E+19   19.9030685    
  -21.2500000       1.11219858E+20   20.0461826    
  -21.0166664       1.35362249E+20   20.1314983    
  -20.7833328       1.63044978E+20   20.2123070    
  -20.5499992       1.94955990E+20   20.2899361    
  -20.3166656       2.26529196E+20   20.3551235    
  -20.0833340       2.63791417E+20   20.4212608    
  -19.8500004       2.86254211E+20   20.4567528    
  -19.6166668       3.04737476E+20   20.4839268    
  -19.3833332       3.29176295E+20   20.5174294    
  -19.1499996       3.65088878E+20   20.5623989    
  -18.9166660       4.16116386E+20   20.6192150    
  -18.6833344       4.68307089E+20   20.6705303    
  -18.4500008       5.20120932E+20   20.7161045    
  -18.2166672       6.04565184E+20   20.7814426    
  -17.9833336       6.88925979E+20   20.8381729    
  -17.7500000       7.51384151E+20   20.8758621    
  -17.5166664       8.01784708E+20   20.9040585    
  -17.2833328       8.28451436E+20   20.9182663    
  -17.0499992       8.06435871E+20   20.9065704    
  -16.8166656       7.24474087E+20   20.8600235    
  -16.5833340       8.54228844E+20   20.9315739    
  -16.3500004       8.58325220E+20   20.9336510    
  -16.1166668       1.14105818E+21   21.0573082    
